1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Genre	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Text_name	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17591554	al	Q	X	WML	CMBRUT3	X	'NULL'	M3	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17591551	and *con* toke al +te castelles ,	IP-MAT	17591555	al +te castelles	NP	17591557	castelles	NS	17591557	castelles	NS	17591555	al +te castelles	NP	17591555	al +te castelles	NP
17617551	no	Q	X	WML	CMBRUT3	X	'NULL'	M3	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17617552	no castell ne none o+tere werk	NP	17617553	no castell	NP	17617554	castell	N	17617554	castell	N	17617553	no castell	NP	17617553	no castell	NP
17752928	many	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	'NULL'	M4	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17752923	Than took he many casteles and strengthis so fer-forth +tat +te kyng of Scottis was compelled to excuse him +tat his rebellion was be councell of his barnes , in whech letter 0 *T*-1 he mad a newe obejauns to +te kyng ,	IP-MAT	17752929	many casteles and strengthis	NP	17752930	casteles	NS	17752930	casteles	NS	17752929	many casteles and strengthis	NP	17752929	many casteles and strengthis	NP
17777757	all	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	'NULL'	M4	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17777756	And all +te castell and maneris , whech 0 *T*-1 were +te dukes of Gloucetir , +tei schul lese withoute ony grace ,	IP-MAT	17777758	all +te castell and maneris , whech 0 *T*-1 were +te dukes of Gloucetir	NP	17777760	castell	N	17777760	castell	N	17777758	all +te castell and maneris , whech 0 *T*-1 were +te dukes of Gloucetir	NP	17777758	all +te castell and maneris , whech 0 *T*-1 were +te dukes of Gloucetir	NP
18413586	sumen	Q	'NULL'	Kentish	cmkentho.m1	'NULL'	Homilies	m1	'NULL'	'NULL'	Kentish Homilies	'NULL'	18413585	into sumen c+astele	PP	18413587	sumen c+astele	NP	18413588	c+astele	N	18413588	c+astele	N	18413587	sumen c+astele	NP	18413587	sumen c+astele	NP
18414796	sum	Q	'NULL'	Kentish	cmkentho.m1	'NULL'	Homilies	m1	'NULL'	'NULL'	Kentish Homilies	'NULL'	18414794	*-1 ' sum ' c+astel	IP	18414797	sum ' c+astel	NP	18414799	c+astel	N	18414799	c+astel	N	18414797	sum ' c+astel	NP	18414797	sum ' c+astel	NP
18414818	sum	Q	'NULL'	Kentish	cmkentho.m1	'NULL'	Homilies	m1	'NULL'	'NULL'	Kentish Homilies	'NULL'	18414816	For ' sum ' c+astel , +tt is ' sunderlic ' c+astel , 0 +tt *T*-1 w+as +tt m+aden Maria .	IP-MAT	18414819	sum ' c+astel	NP	18414821	c+astel	N	18414821	c+astel	N	18414819	sum ' c+astel	NP	18414819	sum ' c+astel	NP
18414939	sum	Q	'NULL'	Kentish	cmkentho.m1	'NULL'	Homilies	m1	'NULL'	'NULL'	Kentish Homilies	'NULL'	18414937	*-1 ' sum ' c+astel , +tt is ' synderlic ' c+astel	IP	18414940	sum ' c+astel , +tt is ' synderlic ' c+astel	NP	18414942	c+astel	N	18414942	c+astel	N	18414940	sum ' c+astel , +tt is ' synderlic ' c+astel	NP	18414940	sum ' c+astel , +tt is ' synderlic ' c+astel	NP
18753430	mony	Q	MIRK JOHN	WMO	CMMIRK	X	'NULL'	M3/4	INSTR REL	X	'NULL'	PROSE	18753420	*T*-2 +te kyng had be+gonde +te see mony castellys and townys out of his hond	IP	18753431	mony castellys and townys	NP	18753432	castellys	NS	18753432	castellys	NS	18753431	mony castellys and townys	NP	18753431	mony castellys and townys	NP
19017747	ealla	Q	X	EMO	CMPETERB	X	'NULL'	M1	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	19017746	of ealla +ta casteles 0 +da *T*-1 +t+arabuton w+aron	PP	19017748	ealla +ta casteles 0 +da *T*-1 +t+arabuton w+aron	NP	19017750	casteles	NS	19017750	casteles	NS	19017748	ealla +ta casteles 0 +da *T*-1 +t+arabuton w+aron	NP	19017748	ealla +ta casteles 0 +da *T*-1 +t+arabuton w+aron	NP
19028665	alle	Q	X	EMO	CMPETERB	X	'NULL'	M1	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	19028663	he alle his castles sculde iiuen up	IP	19028666	alle his castles	NP	19028668	castles	NS	19028668	castles	NS	19028666	alle his castles	NP	19028666	alle his castles	NP
19353718	all	Q	X	WMO	CMSIEGE	X	'NULL'	M4	NARR IMAG	WRITTEN	'NULL'	PROSE	19353701	And as 0 0 *T*-1 he +teme bade , thay toke all +te castyllys and tovnnys in Jude into +ter one hondyse	IP-MAT	19353719	all +te castyllys and tovnnys in Jude	NP	19353721	castyllys	NS	19353721	castyllys	NS	19353719	all +te castyllys and tovnnys in Jude	NP	19353719	all +te castyllys and tovnnys in Jude	NP
