1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17239686	muche	Q	X	EML	CMAELR4	FRENCH	M4	INSTR REL	WRITTEN	PROSE	17239685	and muche fruyt	CONJP	17239687	muche fruyt	NP	17239688	fruyt	N	17239688	fruyt	N	17239687	muche fruyt	NP	17239687	muche fruyt	NP
17739166	no	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17739163	+tere schuld no frute growe of hir wombe	IP	17739167	no frute	NP	17739168	frute	N	17739168	frute	N	17739167	no frute	NP	17739167	no frute	NP
17864862	no	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	M3	NARR IMAG	WRITTEN	PROSE	17864853	for the erthe ne shal bere hem no fruyt .	IP-MAT	17864863	no fruyt	NP	17864864	fruyt	N	17864864	fruyt	N	17864863	no fruyt	NP	17864863	no fruyt	NP
17990568	al	Q	X	EML	CMEARLPS	LATIN/FRENCH	M2	X	WRITTEN	PROSE	17990565	and *con* ete al +te fruit of her londe .	IP-MAT	17990569	al +te fruit of her londe	NP	17990571	fruit	N	17990571	fruit	N	17990569	al +te fruit of her londe	NP	17990569	al +te fruit of her londe	NP
18190243	al	Q	X	MO	CMHALI	X	M1	INSTR REL	WRITTEN	PROSE	18190237	+tus habbe+d godes freond al +te frut of +tis worlt 0 +tt *T*-1 ha forsaken habbe+d o wunderliche wise	IP	18190244	al +te frut of +tis worlt 0 +tt *T*-1 ha forsaken habbe+d	NP	18190246	frut	N	18190246	frut	N	18190244	al +te frut of +tis worlt 0 +tt *T*-1 ha forsaken habbe+d	NP	18190244	al +te frut of +tis worlt 0 +tt *T*-1 ha forsaken habbe+d	NP
18592952	no	Q	MALORY THOMAS	WML	CMMALORY	X	M4	NARR IMAG	WRITTEN	PROSE	18592950	*T*-1 bare no fruyte	IP	18592953	no fruyte	NP	18592954	fruyte	N	18592954	fruyte	N	18592953	no fruyte	NP	18592953	no fruyte	NP
18592979	no	Q	MALORY THOMAS	WML	CMMALORY	X	M4	NARR IMAG	WRITTEN	PROSE	18592978	and no fruyte	CONJP	18592980	no fruyte	NP	18592981	fruyte	N	18592981	fruyte	N	18592980	no fruyte	NP	18592980	no fruyte	NP
18593018	no	Q	MALORY THOMAS	WML	CMMALORY	X	M4	NARR IMAG	WRITTEN	PROSE	18592986	So thou , sir Launcelot , whan 0 the Holy Grayle was brought before the , He founde in the no fruyte , nother good thought nother good wylle	IP	18593019	no fruyte , nother good thought nother good wylle	NP	18593020	fruyte	N	18593020	fruyte	N	18593019	no fruyte , nother good thought nother good wylle	NP	18593019	no fruyte , nother good thought nother good wylle	NP
18630834	many	Q	X	EML	CMMANDEV	FRENCH	M3	NARR IMAG	WRITTEN	PROSE	18630830	*T*-2 *exp* ben many dyuerse frutes	IP	18630835	many dyuerse frutes	NP	18630837	frutes	NS	18630837	frutes	NS	18630835	many dyuerse frutes	NP	18630835	many dyuerse frutes	NP
19131604	alle	Q	PURVEY JOHN	SL	CMPURVEY	X	M3	INSTR REL	WRITTEN	PROSE	19131603	of alle fruytis 0 that *T*-1 growen in erthe	PP	19131605	alle fruytis 0 that *T*-1 growen in erthe	NP	19131606	fruytis	NS	19131606	fruytis	NS	19131605	alle fruytis 0 that *T*-1 growen in erthe	NP	19131605	alle fruytis 0 that *T*-1 growen in erthe	NP
