1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23336399	no	no	Q	anonymous 	1772 	anon3-1772 	BIOGR OTHER 	n/a 	anon3-1772-2	23336396	he had no hand in the enterprize	IP	23336400	no hand	NP	23336401	hand	hand	N	23336401	hand	hand	N	23336400	no hand	NP	23336400	no hand	NP
23504509	both	both	Q	Bardsley, Samuel Argent 	1807 	bardsley-1807 	SCIENCE MEDICINE 	n/a 	bardsley-1807-1	23504508	of both hands	PP	23504510	both hands	NP	23504511	hands	hand	NS	23504511	hands	hand	NS	23504510	both hands	NP	23504510	both hands	NP
23540823	both	both	Q	n/a 	1763 	beddingfield-1763 	PROC TRIAL 	n/a 	beddingfield-1763-2	23540814	you the said <font> Richard , <$$font> both your hands about the neck of the said <font> John , <$$font> then and there did fix and fasten	IP	23540824	both your hands	NP	23540826	hands	hand	NS	23540826	hands	hand	NS	23540824	both your hands	NP	23540824	both your hands	NP
23540865	both	both	Q	n/a 	1763 	beddingfield-1763 	PROC TRIAL 	n/a 	beddingfield-1763-2	23540866	both your hands so as aforesaid fixed and fastened about the neck of the said <font> John	IP	23540867	both your hands	NP	23540869	hands	hand	NS	23540869	hands	hand	NS	23540867	both your hands	NP	23540867	both your hands	NP
23542548	both	both	Q	n/a 	1763 	beddingfield-1763 	PROC TRIAL 	n/a 	beddingfield-1763-2	23542542	the said <font> Richard <$$font> both his hands about the neck of the said <font> John <$$font> then and there did fix and fasten	IP	23542549	both his hands	NP	23542551	hands	hand	NS	23542551	hands	hand	NS	23542549	both his hands	NP	23542549	both his hands	NP
23542589	both	both	Q	n/a 	1763 	beddingfield-1763 	PROC TRIAL 	n/a 	beddingfield-1763-2	23542590	both his hands so as aforesaid fixed and fastened about the neck of the said <font> John	IP	23542591	both his hands	NP	23542593	hands	hand	NS	23542593	hands	hand	NS	23542591	both his hands	NP	23542591	both his hands	NP
23557439	both	both	Q	n/a 	1763 	beddingfield-1763 	PROC TRIAL 	n/a 	beddingfield-1763-2	23557438	having both his hands at liberty	IP	23557440	both his hands	NP	23557442	hands	hand	NS	23557442	hands	hand	NS	23557440	both his hands	NP	23557440	both his hands	NP
24172790	each	each	Q	Carlyle, Thomas 	1837 	carlyle-1837 	HISTORY 	n/a 	carlyle-1837-1	24172789	in each hand	PP	24172791	each hand	NP	24172792	hand	hand	N	24172792	hand	hand	N	24172791	each hand	NP	24172791	each hand	NP
24197105	all	all	Q	Carlyle, Thomas 	1858 	carlyle-1858 	BIOGR OTHER 	n/a 	carlyle-1858-2	24197104	on all hands	PP	24197106	all hands	NP	24197107	hands	hand	NS	24197107	hands	hand	NS	24197106	all hands	NP	24197106	all hands	NP
24382219	all	all	Q	Cook, James 	1776 	cook1-1776 	TRAVELOGUE 	n/a 	cook1-1776-1	24382207	and it coming on to blow hard , all hands were obliged to go on shore at midnight to put it out , fearing 0 the tents should take fire .	IP-MAT	24382220	all hands	NP	24382221	hands	hand	NS	24382221	hands	hand	NS	24382220	all hands	NP	24382220	all hands	NP
24409173	both	both	Q	Cook, Ernest Thomas 	1901 	cook2-1901 	HANDB OTHER 	n/a 	cook2-1901-2	24409172	in both hands	PP	24409174	both hands	NP	24409175	hands	hand	NS	24409175	hands	hand	NS	24409174	both hands	NP	24409174	both hands	NP
24555978	all	all	Q	Darwin, Charles 	1835 	darwin-1835 	TRAVELOGUE 	n/a 	darwin-1835-2	24555979	all hands were assisting him in giving his orders	IP	24555980	all hands	NP	24555981	hands	hand	NS	24555981	hands	hand	NS	24555980	all hands	NP	24555980	all hands	NP
24565903	each	each	Q	Darwin, Charles 	1835 	darwin-1835 	TRAVELOGUE 	n/a 	darwin-1835-2	24565902	on each hand	PP	24565904	each hand	NP	24565905	hand	hand	N	24565905	hand	hand	N	24565904	each hand	NP	24565904	each hand	NP
