1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Genre	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Text_name	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17230179	al	Q	X	SL	CMAELR3	LATIN	'NULL'	M2/3	INSTR REL	WRITTEN	'NULL'	PROSE	17230177	*T*-5 +gift al is i+goue blisse and +tank	IP	17230180	al is i+goue blisse and +tank	NP	17230183	blisse	N	17230183	blisse	N	17230180	al is i+goue blisse and +tank	NP	17230180	al is i+goue blisse and +tank	NP
17231824	al	Q	X	SL	CMAELR3	LATIN	'NULL'	M2/3	INSTR REL	WRITTEN	'NULL'	PROSE	17231823	in al his blisse	PP	17231825	al his blisse	NP	17231827	blisse	N	17231827	blisse	N	17231825	al his blisse	NP	17231825	al his blisse	NP
17269222	uch	Q	X	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17269221	of uch blisse utewi+d	PP	17269223	uch blisse utewi+d	NP	17269224	blisse	N	17269224	blisse	N	17269223	uch blisse utewi+d	NP	17269223	uch blisse utewi+d	NP
17290709	alle	Q	X	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17290706	for leosen alle +te o+dere blissen of +tis lif . for to cluppen blisfulliche +ti blisful leofmon $i $+te {TEXT:i+te} eche lif of heouene	IP	17290710	alle +te o+dere blissen of +tis lif	NP	17290713	blissen	NS	17290713	blissen	NS	17290710	alle +te o+dere blissen of +tis lif	NP	17290710	alle +te o+dere blissen of +tis lif	NP
17317808	Alle	Q	X	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17317809	Alle blisse halde+d *ICH*-1 $it {TEXT:bit_with_b_subpuncted} to fallen $in $misliche {TEXT:inmisliche} of +teose fondinges 0 +tt *T*-3 *-4 uttere beo+d ihaten .	IP-IMP-SPE	17317810	Alle blisse	NP	17317811	blisse	N	17317811	blisse	N	17317810	Alle blisse	NP	17317810	Alle blisse	NP
17369771	Al	Q	X	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17369772	Al ure blisse mot beon in Iesu cristes rode .	IP-MAT	17369773	Al ure blisse	NP	17369775	blisse	N	17369775	blisse	N	17369773	Al ure blisse	NP	17369773	Al ure blisse	NP
17371248	ani	Q	X	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17371246	forto habben ani blisse $in $+tis {TEXT:in+tis} world . bute in Iesu cristes *ICH*-1 rode mi lauerd . +turch hwam 0 *T*-2 +te world is me $unwur+d & *T*-2 ich am unwur+d hire . as wari 0 +te *T*-3 is anhonged	IP	17371249	ani blisse	NP	17371250	blisse	N	17371250	blisse	N	17371249	ani blisse	NP	17371249	ani blisse	NP
17371777	al	Q	X	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17371776	for al hare blisse is forto beon ahonged sariliche & scheomeliche wi+d Iesu on his rode .	IP-MAT	17371778	al hare blisse	NP	17371780	blisse	N	17371780	blisse	N	17371778	al hare blisse	NP	17371778	al hare blisse	NP
17396621	alle	Q	X	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17396620	til alle uerdlike blisses	PP	17396622	alle uerdlike blisses	NP	17396624	blisses	NS	17396624	blisses	NS	17396622	alle uerdlike blisses	NP	17396622	alle uerdlike blisses	NP
17462855	al	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	'NULL'	M2	INSTR REL	WRITTEN	'NULL'	PROSE	17462856	al +te blisse of +tise wordle / him ssolde by / drede : and wo . Rychesses : dong . wor+tssipes : uoulhede	IP	17462857	al +te blisse of +tise wordle	NP	17462859	blisse	N	17462859	blisse	N	17462857	al +te blisse of +tise wordle	NP	17462857	al +te blisse of +tise wordle	NP
17476594	alle	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	'NULL'	M2	INSTR REL	WRITTEN	'NULL'	PROSE	17476593	and alle +te blissen	CONJP	17476595	alle +te blissen	NP	17476597	blissen	NS	17476597	blissen	NS	17476595	alle +te blissen	NP	17476595	alle +te blissen	NP
17476822	alle	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	'NULL'	M2	INSTR REL	WRITTEN	'NULL'	PROSE	17476823	alle blisse / clene / and zo+te of herte / uor wop of penonce	IP	17476824	alle blisse / clene / and zo+te of herte	NP	17476825	blisse	N	17476825	blisse	N	17476824	alle blisse / clene / and zo+te of herte	NP	17476824	alle blisse / clene / and zo+te of herte	NP
17510331	al	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	'NULL'	M2	INSTR REL	WRITTEN	'NULL'	PROSE	17510323	+tanne on <P_269> onnea+te nym+t al his blisse	IP	17510332	al his blisse	NP	17510334	blisse	N	17510334	blisse	N	17510332	al his blisse	NP	17510332	al his blisse	NP
17593070	miche	Q	X	WML	CMBRUT3	X	'NULL'	M3	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17593069	with miche blisse	PP	17593071	miche blisse	NP	17593072	blisse	N	17593072	blisse	N	17593071	miche blisse	NP	17593071	miche blisse	NP
18258818	alle	Q	JULIAN OF NORWICH	EML	CMJULNOR	X	'NULL'	M3/4	INSTR REL	WRITTEN	'NULL'	PROSE	18258819	alle my blys	CONJP	18258820	alle my blys	NP	18258822	blys	N	18258822	blys	N	18258820	alle my blys	NP	18258820	alle my blys	NP
18272129	euch	Q	X	WMO	CMKATHE	X	'NULL'	M1	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	18272128	of euch blisse	PP	18272130	euch blisse	NP	18272131	blisse	N	18272131	blisse	N	18272130	euch blisse	NP	18272130	euch blisse	NP
18276292	al	Q	X	WMO	CMKATHE	X	'NULL'	M1	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	18276291	*T*-3 al +tis blisse is	IP	18276293	al +tis blisse	NP	18276295	blisse	N	18276295	blisse	N	18276293	al +tis blisse	NP	18276293	al +tis blisse	NP
18353518	al	Q	KEMPE MARGERY	EMO	CMKEMPE	X	'NULL'	M4	INSTR REL	WRITTEN	'NULL'	PROSE	18353517	& al blysse	CONJP	18353519	al blysse	NP	18353520	blysse	N	18353520	blysse	N	18353519	al blysse	NP	18353519	al blysse	NP
18421022	mycele	Q	'NULL'	Kentish	cmkentho.m1	'NULL'	Homilies	m1	'NULL'	'NULL'	Kentish Homilies	'NULL'	18421020	*T*-1 habbe+d mycele blisse , +tonne 0 heo gegripe+d +tt +as	IP	18421023	mycele blisse	NP	18421024	blisse	N	18421024	blisse	N	18421023	mycele blisse	NP	18421023	mycele blisse	NP
18441791	muchele	Q	X	WMO	CMLAMBET	X	'NULL'	MX/1	INSTR REL	WRITTEN	'NULL'	PROSE	18441790	to muchele blisse	PP	18441792	muchele blisse	NP	18441793	blisse	N	18441793	blisse	N	18441792	muchele blisse	NP	18441792	muchele blisse	NP
18446515	muchele	Q	X	WMO	CMLAMBET	X	'NULL'	MX/1	INSTR REL	WRITTEN	'NULL'	PROSE	18446514	mid muchele blisse	PP	18446516	muchele blisse	NP	18446517	blisse	N	18446517	blisse	N	18446516	muchele blisse	NP	18446516	muchele blisse	NP
18464557	muchlere	Q	X	WMO	CMLAMBET	X	'NULL'	MX/1	INSTR REL	WRITTEN	'NULL'	PROSE	18464556	mid muchlere blisse	PP	18464558	muchlere blisse	NP	18464559	blisse	N	18464559	blisse	N	18464558	muchlere blisse	NP	18464558	muchlere blisse	NP
18469677	alle	Q	X	WMO	CMLAMBET	X	'NULL'	MX/1	INSTR REL	WRITTEN	'NULL'	PROSE	18469648	+te 0 +tet *T*-1 +durh gode iearnunge bi-cum+d to +tissan seof+anfalden +gefan of +tam hal+gan gaste ; he haue+d alle blisse .	IP-MAT	18469678	alle blisse	NP	18469679	blisse	N	18469679	blisse	N	18469678	alle blisse	NP	18469678	alle blisse	NP
18474136	nane	Q	X	WMO	CMLAMBET	X	'NULL'	MX/1	INSTR REL	WRITTEN	'NULL'	PROSE	18474129	and *con* efter +tisse liue nane blisse naf+d mid gode .	IP-MAT	18474137	nane blisse	NP	18474138	blisse	N	18474138	blisse	N	18474137	nane blisse	NP	18474137	nane blisse	NP
18879334	eche	Q	?	East Midlands (Southwest Lincolnshire)	cmorm.po.m1	'NULL'	'NULL'	M1	'NULL'	'NULL'	'NULL'	VERSE	18879332	To brukenn eche blisse , | | 0 +Tatt *T*-3 e+g+gwh+ar upponn hali+g boc | | Iss +turrh rihht hallf bitacnedd	IP	18879335	eche blisse , | | 0 +Tatt *T*-3 e+g+gwh+ar upponn hali+g boc | | Iss +turrh rihht hallf bitacnedd	NP	18879336	blisse	N	18879336	blisse	N	18879335	eche blisse , | | 0 +Tatt *T*-3 e+g+gwh+ar upponn hali+g boc | | Iss +turrh rihht hallf bitacnedd	NP	18879335	eche blisse , | | 0 +Tatt *T*-3 e+g+gwh+ar upponn hali+g boc | | Iss +turrh rihht hallf bitacnedd	NP
18879482	eche	Q	?	East Midlands (Southwest Lincolnshire)	cmorm.po.m1	'NULL'	'NULL'	M1	'NULL'	'NULL'	'NULL'	VERSE	18879480	To brukenn eche blisse	IP	18879483	eche blisse	NP	18879484	blisse	N	18879484	blisse	N	18879483	eche blisse	NP	18879483	eche blisse	NP
18880133	all	Q	?	East Midlands (Southwest Lincolnshire)	cmorm.po.m1	'NULL'	'NULL'	M1	'NULL'	'NULL'	'NULL'	VERSE	18880118	| Forr att te come off Sannt Johan | | Bigann all ure blisse , | | All +tatt te Laferrd Jesu Crist | | Comm till mannkinn onn eor+te , | <P_I,22> | & *con* bohhte +turrh hiss a+ghen d+a+t | | Mannkinn fra deofless walde . |	IP-MAT	18880134	all ure blisse	NP	18880136	blisse	N	18880136	blisse	N	18880134	all ure blisse	NP	18880134	all ure blisse	NP
18880258	all	Q	?	East Midlands (Southwest Lincolnshire)	cmorm.po.m1	'NULL'	'NULL'	M1	'NULL'	'NULL'	'NULL'	VERSE	18880257	& all +tatt blisse 0 +tatt *T*-1 uss comm | | +Turrh +tatt he comm onn eor+te	CONJP	18880259	all +tatt blisse 0 +tatt *T*-1 uss comm | | +Turrh +tatt he comm onn eor+te	NP	18880261	blisse	N	18880261	blisse	N	18880259	all +tatt blisse 0 +tatt *T*-1 uss comm | | +Turrh +tatt he comm onn eor+te	NP	18880259	all +tatt blisse 0 +tatt *T*-1 uss comm | | +Turrh +tatt he comm onn eor+te	NP
18886951	eche	Q	?	East Midlands (Southwest Lincolnshire)	cmorm.po.m1	'NULL'	'NULL'	M1	'NULL'	'NULL'	'NULL'	VERSE	18886950	winnenn eche blisse	IP	18886952	eche blisse	NP	18886953	blisse	N	18886953	blisse	N	18886952	eche blisse	NP	18886952	eche blisse	NP
18913896	mikell	Q	?	East Midlands (Southwest Lincolnshire)	cmorm.po.m1	'NULL'	'NULL'	M1	'NULL'	'NULL'	'NULL'	VERSE	18913887	all follc iss | | Nu cumenn mikell blisse	IP	18913897	mikell blisse	NP	18913898	blisse	N	18913898	blisse	N	18913897	mikell blisse	NP	18913897	mikell blisse	NP
18921134	mikell	Q	?	East Midlands (Southwest Lincolnshire)	cmorm.po.m1	'NULL'	'NULL'	M1	'NULL'	'NULL'	'NULL'	VERSE	18921133	wi+t+t mikell blisse	PP	18921135	mikell blisse	NP	18921136	blisse	N	18921136	blisse	N	18921135	mikell blisse	NP	18921135	mikell blisse	NP
18926374	All	Q	?	East Midlands (Southwest Lincolnshire)	cmorm.po.m1	'NULL'	'NULL'	M1	'NULL'	'NULL'	'NULL'	VERSE	18926361	| & tale off ehhte tacne+t+t uss | | All +tatt orrmete blisse , | <P_I,150> | 0 +Tatt *T*-1 mannkinn unnderrfeng +turrh +tatt | | +Tatt Crist *ICH*-2 ras upp off d+a+te , | | 0 +Tatt *T*-3 ras rihht o +tehhtennde da+g+g | | Affterr +te wukess ende , | | Swa summ 0 0 *T*-4 icc habbe sh+awedd her | | Biforenn o +tiss lare . |	IP-MAT	18926375	All +tatt orrmete blisse , | <P_I,150> | 0 +Tatt *T*-1 mannkinn unnderrfeng +turrh +tatt | | +Tatt Crist *ICH*-2 ras upp off d+a+te , | | 0 +Tatt *T*-3 ras rihht o +tehhtennde da+g+g | | Affterr +te wukess ende , | | Swa summ 0 0 *T*-4 icc habbe sh+awedd her | | Biforenn o +tiss lare	NP	18926378	blisse	N	18926378	blisse	N	18926375	All +tatt orrmete blisse , | <P_I,150> | 0 +Tatt *T*-1 mannkinn unnderrfeng +turrh +tatt | | +Tatt Crist *ICH*-2 ras upp off d+a+te , | | 0 +Tatt *T*-3 ras rihht o +tehhtennde da+g+g | | Affterr +te wukess ende , | | Swa summ 0 0 *T*-4 icc habbe sh+awedd her | | Biforenn o +tiss lare	NP	18926375	All +tatt orrmete blisse , | <P_I,150> | 0 +Tatt *T*-1 mannkinn unnderrfeng +turrh +tatt | | +Tatt Crist *ICH*-2 ras upp off d+a+te , | | 0 +Tatt *T*-3 ras rihht o +tehhtennde da+g+g | | Affterr +te wukess ende , | | Swa summ 0 0 *T*-4 icc habbe sh+awedd her | | Biforenn o +tiss lare	NP
18930601	all	Q	?	East Midlands (Southwest Lincolnshire)	cmorm.po.m1	'NULL'	'NULL'	M1	'NULL'	'NULL'	'NULL'	VERSE	18930600	& all +te blisse off heoffne	CONJP	18930602	all +te blisse off heoffne	NP	18930604	blisse	N	18930604	blisse	N	18930602	all +te blisse off heoffne	NP	18930602	all +te blisse off heoffne	NP
19029179	litel	Q	X	EMO	CMPETERB	X	'NULL'	M1	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	19029175	oc sc+a hedde litel blisse mid him .	IP-MAT	19029180	litel blisse	NP	19029181	blisse	N	19029181	blisse	N	19029180	litel blisse	NP	19029180	litel blisse	NP
19333652	ei	Q	X	WMO	CMSAWLES	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	19333651	for ei hwilinde blisse her o +tisse worlde	PP	19333653	ei hwilinde blisse her o +tisse worlde	NP	19333655	blisse	N	19333655	blisse	N	19333653	ei hwilinde blisse her o +tisse worlde	NP	19333653	ei hwilinde blisse her o +tisse worlde	NP
19377855	muchele	Q	X	EMO	CMTRINIT	X	'NULL'	MX/1	INSTR REL	WRITTEN	'NULL'	PROSE	19377854	to muchele blisse	PP	19377856	muchele blisse	NP	19377857	blisse	N	19377857	blisse	N	19377856	muchele blisse	NP	19377856	muchele blisse	NP
19378020	muchele	Q	X	EMO	CMTRINIT	X	'NULL'	MX/1	INSTR REL	WRITTEN	'NULL'	PROSE	19378019	to muchele blisse	PP	19378021	muchele blisse	NP	19378022	blisse	N	19378022	blisse	N	19378021	muchele blisse	NP	19378021	muchele blisse	NP
19409345	michele	Q	X	EMO	CMTRINIT	X	'NULL'	MX/1	INSTR REL	WRITTEN	'NULL'	PROSE	19409338	Wordles song is +te herte michele blisse . 0 +te *T*-1 heo haue+d of heuenliche +dinge . and *con* ne mai +teroffe be stille . ne mid worde hem atellen .	IP-MAT	19409346	michele blisse . 0 +te *T*-1 heo haue+d of heuenliche +dinge . and *con* ne mai +teroffe be stille . ne mid worde hem atellen	NP	19409347	blisse	N	19409347	blisse	N	19409346	michele blisse . 0 +te *T*-1 heo haue+d of heuenliche +dinge . and *con* ne mai +teroffe be stille . ne mid worde hem atellen	NP	19409346	michele blisse . 0 +te *T*-1 heo haue+d of heuenliche +dinge . and *con* ne mai +teroffe be stille . ne mid worde hem atellen	NP
19417143	michel	Q	X	EMO	CMTRINIT	X	'NULL'	MX/1	INSTR REL	WRITTEN	'NULL'	PROSE	19417134	and hit shal beo +te to michel blisse .	IP-MAT	19417144	michel blisse	NP	19417145	blisse	N	19417145	blisse	N	19417144	michel blisse	NP	19417144	michel blisse	NP
19433608	michel	Q	X	EMO	CMTRINIT	X	'NULL'	MX/1	INSTR REL	WRITTEN	'NULL'	PROSE	19433605	and *exp* be+d michel blisse among mannen .	IP-MAT	19433609	michel blisse	NP	19433610	blisse	N	19433610	blisse	N	19433609	michel blisse	NP	19433609	michel blisse	NP
19455481	alle	Q	X	EMO	CMVICES1	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	19455482	alle blisse and reste inowh	NP	19455483	alle blisse	NP	19455484	blisse	N	19455484	blisse	N	19455483	alle blisse	NP	19455483	alle blisse	NP
19484427	michele	Q	X	EMO	CMVICES1	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	19484426	mid michele blisse	PP	19484428	michele blisse	NP	19484429	blisse	N	19484429	blisse	N	19484428	michele blisse	NP	19484428	michele blisse	NP
19504552	nan	Q	X	EMO	CMVICES1	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	19504550	hie nan o+der blisse ne habbe+d , ne ne recche+d to habben , buten of ates and of drenches and of here likames hlustes	IP	19504553	nan o+der blisse	NP	19504555	blisse	N	19504555	blisse	N	19504553	nan o+der blisse	NP	19504553	nan o+der blisse	NP
