1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17871225	every	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	M3	NARR IMAG	WRITTEN	PROSE	17871224	of every tree in Paradys	PP	17871226	every tree in Paradys	NP	17871227	tree	N	17871227	tree	N	17871226	every tree in Paradys	NP	17871226	every tree in Paradys	NP
18637781	all	Q	X	EML	CMMANDEV	FRENCH	M3	NARR IMAG	WRITTEN	PROSE	18637777	& so diden all the trees 0 +tat *T*-1 weren <P_45> +tanne in the world	IP-MAT	18637782	all the trees 0 +tat *T*-1 weren <P_45> +tanne in the world	NP	18637784	trees	NS	18637784	trees	NS	18637782	all the trees 0 +tat *T*-1 weren <P_45> +tanne in the world	NP	18637782	all the trees 0 +tat *T*-1 weren <P_45> +tanne in the world	NP
18697551	ony	Q	X	EML	CMMANDEV	FRENCH	M3	NARR IMAG	WRITTEN	PROSE	18697550	of ony o+ter trees	PP	18697552	ony o+ter trees	NP	18697554	trees	NS	18697554	trees	NS	18697552	ony o+ter trees	NP	18697552	ony o+ter trees	NP
18995847	alle	Q	X	EML	CMOTEST	LATIN	M3	X	WRITTEN	PROSE	18995846	and alle trees 0 that *T*-1 han in hem silf the seed of her kynde	CONJP	18995848	alle trees 0 that *T*-1 han in hem silf the seed of her kynde	NP	18995849	trees	NS	18995849	trees	NS	18995848	alle trees 0 that *T*-1 han in hem silf the seed of her kynde	NP	18995848	alle trees 0 that *T*-1 han in hem silf the seed of her kynde	NP
18996213	ech	Q	X	EML	CMOTEST	LATIN	M3	X	WRITTEN	PROSE	18996214	ech litil tre of erthe bifore that it sprong out in erthe	IP	18996215	ech litil tre of erthe	NP	18996217	tre	N	18996217	tre	N	18996215	ech litil tre of erthe	NP	18996215	ech litil tre of erthe	NP
18996433	ech	Q	X	EML	CMOTEST	LATIN	M3	X	WRITTEN	PROSE	18996420	And the Lord God brou+gte forth of the erthe ech tre fair in si+gt , and swete 0 *T*-1 to ete ;	IP-MAT	18996434	ech tre fair in si+gt , and swete 0 *T*-1 to ete	NP	18996435	tre	N	18996435	tre	N	18996434	ech tre fair in si+gt , and swete 0 *T*-1 to ete	NP	18996434	ech tre fair in si+gt , and swete 0 *T*-1 to ete	NP
18996788	ech	Q	X	EML	CMOTEST	LATIN	M3	X	WRITTEN	PROSE	18996787	of ech tre of paradis	PP	18996789	ech tre of paradis	NP	18996790	tre	N	18996790	tre	N	18996789	ech tre of paradis	NP	18996789	ech tre of paradis	NP
18997372	ech	Q	X	EML	CMOTEST	LATIN	M3	X	WRITTEN	PROSE	18997371	of ech tre of paradis	PP	18997373	ech tre of paradis	NP	18997374	tre	N	18997374	tre	N	18997373	ech tre of paradis	NP	18997373	ech tre of paradis	NP
19188682	ech	Q	PURVEY JOHN	SL	CMPURVEY	X	M3	INSTR REL	WRITTEN	PROSE	19188679	of erthe ech fair tre	PP	19188683	ech fair tre	NP	19188685	tre	N	19188685	tre	N	19188683	ech fair tre	NP	19188683	ech fair tre	NP
19540734	yche	Q	X	EML	CMWYCSER	X	M3	INSTR REL	X	PROSE	19540731	And +tus yche good tre 0 +tat *T*-1 God ha+t ordeynut to +te hows of heuene bere+t here good fruyt ,	IP-MAT	19540735	yche good tre 0 +tat *T*-1 God ha+t ordeynut to +te hows of heuene	NP	19540737	tre	N	19540737	tre	N	19540735	yche good tre 0 +tat *T*-1 God ha+t ordeynut to +te hows of heuene	NP	19540735	yche good tre 0 +tat *T*-1 God ha+t ordeynut to +te hows of heuene	NP
19540967	ylche	Q	X	EML	CMWYCSER	X	M3	INSTR REL	X	PROSE	19540964	And so ylche tre here in +tis world 0 +tat *T*-1 makyth not +tus good fruyt schal be fellut	IP	19540968	ylche tre here in +tis world 0 +tat *T*-1 makyth not +tus good fruyt	NP	19540969	tre	N	19540969	tre	N	19540968	ylche tre here in +tis world 0 +tat *T*-1 makyth not +tus good fruyt	NP	19540968	ylche tre here in +tis world 0 +tat *T*-1 makyth not +tus good fruyt	NP
19579868	alle	Q	X	EML	CMWYCSER	X	M3	INSTR REL	X	PROSE	19579867	and alle o+tur trees of fruyt	CONJP	19579869	alle o+tur trees of fruyt	NP	19579871	trees	NS	19579871	trees	NS	19579869	alle o+tur trees of fruyt	NP	19579869	alle o+tur trees of fruyt	NP
