1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17212075	no	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17212070	For +ter may be no matere of euel wil a+gens no-man wher 0 *T*-2 *exp* reigne+t no coueytyse ,	IP-MAT	17212076	no matere of euel wil	NP	17212077	matere	N	17212077	matere	N	17212076	no matere of euel wil	NP	17212076	no matere of euel wil	NP
17251783	no	Q	X	EML	CMAELR4	FRENCH	M4	INSTR REL	WRITTEN	PROSE	17251779	for ther may no matere *ICH*-2 be of yuel wille wher 0 *T*-3 no couetise is ;	IP-MAT	17251784	no matere *ICH*-2	NP	17251785	matere	N	17251785	matere	N	17251784	no matere *ICH*-2	NP	17251784	no matere *ICH*-2	NP
17751628	Al	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17751629	Al +tis mater was do be +tat Bonefacius for to make himselue pope .	IP-MAT	17751630	Al +tis mater	NP	17751632	mater	N	17751632	mater	N	17751630	Al +tis mater	NP	17751630	Al +tis mater	NP
17820421	som	Q	X	EMO	CMCLOUD	X	M3	INSTR REL	WRITTEN	PROSE	17820415	For parauenture +ter is som mater +ter-inne , in +te beginnyng or in +te middes , +te whiche 0 *T*-2 is hanging & not fully declarid +tere 0 as *T*-3 it stonde+t .	IP-MAT	17820422	som mater +ter-inne , in +te beginnyng or in +te middes , +te whiche 0 *T*-2 is hanging & not fully declarid +tere 0 as *T*-3 it stonde+t	NP	17820423	mater	N	17820423	mater	N	17820422	som mater +ter-inne , in +te beginnyng or in +te middes , +te whiche 0 *T*-2 is hanging & not fully declarid +tere 0 as *T*-3 it stonde+t	NP	17820422	som mater +ter-inne , in +te beginnyng or in +te middes , +te whiche 0 *T*-2 is hanging & not fully declarid +tere 0 as *T*-3 it stonde+t	NP
17820579	any	Q	X	EMO	CMCLOUD	X	M3	INSTR REL	WRITTEN	PROSE	17820576	+ter be any mater +ter-in 0 +tat *T*-3 +tou woldest haue more *ICH*-4 openid +tan 0 0 *T*-5 it is	IP	17820580	any mater +ter-in 0 +tat *T*-3 +tou woldest haue more *ICH*-4 openid +tan 0 0 *T*-5 it is	NP	17820581	mater	N	17820581	mater	N	17820580	any mater +ter-in 0 +tat *T*-3 +tou woldest haue more *ICH*-4 openid +tan 0 0 *T*-5 it is	NP	17820580	any mater +ter-in 0 +tat *T*-3 +tou woldest haue more *ICH*-4 openid +tan 0 0 *T*-5 it is	NP
17848118	no	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	M3	NARR IMAG	WRITTEN	PROSE	17848115	men have no matiere ne cause to calle thee neither wrecche ne chynche	IP	17848119	no matiere ne cause to calle thee neither wrecche ne chynche	NP	17848120	matiere	N	17848120	matiere	N	17848119	no matiere ne cause to calle thee neither wrecche ne chynche	NP	17848119	no matiere ne cause to calle thee neither wrecche ne chynche	NP
17852765	al	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	M3	NARR IMAG	WRITTEN	PROSE	17852764	and al oure matere and cause	CONJP	17852766	al oure matere and cause	NP	17852768	matere	N	17852768	matere	N	17852766	al oure matere and cause	NP	17852766	al oure matere and cause	NP
17854223	al	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	M3	NARR IMAG	WRITTEN	PROSE	17854205	and *con* tolde hem by ordre in the presence of Melibee al this mateere as 0 0 *T*-1 it is aboven expressed and declared ,	IP-MAT	17854224	al this mateere	NP	17854226	mateere	N	17854226	mateere	N	17854224	al this mateere	NP	17854224	al this mateere	NP
18039332	littill	Q	?	North	cmedthor.m34	'NULL'	M34	'NULL'	'NULL'	PROSE	18039328	to be a littill vyle matire *ICH*-10 als 0 0 *T*-7 we ware made of oure modyr , 0 +tat *exp* vile es *T*-8 to neuen	IP	18039331	a littill vyle matire *ICH*-10	NP	18039334	matire	N	18039334	matire	N	18039331	a littill vyle matire *ICH*-10	NP	18039331	a littill vyle matire *ICH*-10	NP
18046755	som	Q	?	North	cmedthor.m34	'NULL'	M34	'NULL'	'NULL'	PROSE	18046756	som matirs of +tis , and alswa at +tou may lere more	NP	18046757	som matirs of +tis	NP	18046758	matirs	NS	18046758	matirs	NS	18046757	som matirs of +tis	NP	18046757	som matirs of +tis	NP
