1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23377006	no	no	Q	Austen, Jane 	1805 (45-47), 1807 (48-50), 1808 (51) 	austen-180x 	LET PRIV 	various (see edition) 	austen-180x-1	23377002	This will be no evil to <P_170> us ,	IP-MAT	23377007	no evil	NP	23377008	evil	evil	N	23377008	evil	evil	N	23377007	no evil	NP	23377007	no evil	NP
23405634	any	any	Q	Austen, Jane 	1815 	austen-1815 	FICTION 		austen-1815-2	23405633	procrastinating any evil 0 that *T*-1 was inevitable	IP	23405635	any evil 0 that *T*-1 was inevitable	NP	23405636	evil	evil	N	23405636	evil	evil	N	23405635	any evil 0 that *T*-1 was inevitable	NP	23405635	any evil 0 that *T*-1 was inevitable	NP
23651777	some	some	Q	James, Henry Rosher (translator). 	1897 	boethja-1897 	PHILOSOPHY 	n/a 	boethja-1897-1	23651757	to one thus wretched , one destitute of all good , some further evil be added beside those which 0 *T*-1 make him wretched	IP	23651778	some further evil	NP	23651780	evil	evil	N	23651780	evil	evil	N	23651778	some further evil	NP	23651778	some further evil	NP
23658915	all	all	Q	James, Henry Rosher (translator). 	1897 	boethja-1897 	PHILOSOPHY 	n/a 	boethja-1897-1	23658880	and while 0 He studies to preserve in likeness to Himself all 0 that *T*-1 He has created , He banishes all evil from the borders of His commonweal through the links of fatal necessity . Whereby 0 *T*-2 it comes to pass that , if 0 thou look to disposing providence <P_164> thou wilt nowhere find the evils which 0 *T*-4 are believed *-5 so to abound on earth .	IP-MAT-SPE	23658916	all evil	NP	23658917	evil	evil	N	23658917	evil	evil	N	23658916	all evil	NP	23658916	all evil	NP
23691003	all	all	Q	James, Henry Rosher (translator). 	1897 	boethja-1897 	PHILOSOPHY 	n/a 	boethja-1897-2	23691002	of all evils	PP	23691004	all evils	NP	23691005	evils	evil	NS	23691005	evils	evil	NS	23691004	all evils	NP	23691004	all evils	NP
23713056	every	every	Q	Ridpath, Philip 	1785 	boethri-1785 	PHILOSOPHY 	n/a 	boethri-1785-1	23713054	to banish every evil from the immense circuit of his empire	IP	23713057	every evil	NP	23713058	evil	evil	N	23713058	evil	evil	N	23713057	every evil	NP	23713057	every evil	NP
23754121	all	all	Q	Ridpath, Philip 	1785 	boethri-1785 	PHILOSOPHY 	n/a 	boethri-1785-2	23754120	of all evils	PP	23754122	all evils	NP	23754123	evils	evil	NS	23754123	evils	evil	NS	23754122	all evils	NP	23754122	all evils	NP
24095164	some	some	Q	Burton, John 	1762 	burton1-1762 	SERMON 	n/a 	burton1-1762-1	24095163	of some impending evil	PP	24095165	some impending evil	NP	24095167	evil	evil	N	24095167	evil	evil	N	24095165	some impending evil	NP	24095165	some impending evil	NP
24121106	all	all	Q	Burton, Richard Francis, Sir 	1857 	burton2-1857 	TRAVELOGUE 	n/a 	burton2-1857-2	24121104	to arouse all the evil in my companions' nature	IP	24121107	all the evil in my companions' nature	NP	24121109	evil	evil	N	24121109	evil	evil	N	24121107	all the evil in my companions' nature	NP	24121107	all the evil in my companions' nature	NP
24129648	no	no	Q	Butler, Joseph 	1726 	butler-1726 	SERMON 	n/a 	butler-1726-1	24129646	*con* thinketh no evil	IP	24129649	no evil	NP	24129650	evil	evil	N	24129650	evil	evil	N	24129649	no evil	NP	24129649	no evil	NP
