1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Date	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Genre	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Text_name	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17241442	al	Q	X	'NULL'	EML	CMAELR4	FRENCH	'NULL'	M4	INSTR REL	WRITTEN	'NULL'	PROSE	17241441	for al that nyght	PP	17241443	al that nyght	NP	17241445	nyght	N	17241445	nyght	N	17241443	al that nyght	NP	17241443	al that nyght	NP
17266139	vhche	Q	X	'NULL'	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17266131	Efter euensong anan Placebo vhche nicht segge+d , +gef 0 +ge beo+d aise , but 0 hit beo hali nicht for feste of ni+ge leceons 0 +te *T*-1 come+d ine mare+gen .	IP-IMP	17266140	vhche nicht	NP	17266141	nicht	N	17266141	nicht	N	17266140	vhche nicht	NP	17266140	vhche nicht	NP
17266216	vche	Q	X	'NULL'	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17266188	Bifore compelin o+der efter vchtsong , Dirige , wi+d +treo salmes ant wi+d +treo leceons vche nicht sundri .	FRAG	17266217	vche nicht sundri	NP	17266218	nicht	N	17266218	nicht	N	17266217	vche nicht sundri	NP	17266217	vche nicht sundri	NP
17266422	vche	Q	X	'NULL'	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17266417	+ge +tus do+d vche nicht bute Sunnenicht ane	IP	17266423	vche nicht	NP	17266424	nicht	N	17266424	nicht	N	17266423	vche nicht	NP	17266423	vche nicht	NP
17408968	al	Q	CHAUCER GEOFFREY	'NULL'	EMO	CMASTRO	X	'NULL'	M3	INSTR SEC	WRITTEN	'NULL'	PROSE	17408960	and fro that tyme forward al the night til 0 the sonne arise , than shal the verrey degre of the sonne shewe the houre of the planete .	IP-MAT	17408969	al the night til 0 the sonne arise	NP	17408971	night	N	17408971	night	N	17408969	al the night til 0 the sonne arise	NP	17408969	al the night til 0 the sonne arise	NP
17409484	all	Q	CHAUCER GEOFFREY	'NULL'	EMO	CMASTRO	X	'NULL'	M3	INSTR SEC	WRITTEN	'NULL'	PROSE	17409486	all the nyght longe	ADJP	17409487	all the nyght	NP	17409489	nyght	N	17409489	nyght	N	17409487	all the nyght	NP	17409487	all the nyght	NP
17525109	na	Q	X	'NULL'	NL	CMBENRUL	X	'NULL'	M3	INSTR REL	WRITTEN	'NULL'	PROSE	17525110	na nyht be lesse *ICH*-2 saide +tan tuelue salmis , vt-takyn +te +tridde and te nihende-fer+te salme	IP	17525111	na nyht	NP	17525112	nyht	N	17525112	nyht	N	17525111	na nyht	NP	17525111	na nyht	NP
17525961	ilke	Q	X	'NULL'	NL	CMBENRUL	X	'NULL'	M3	INSTR REL	WRITTEN	'NULL'	PROSE	17525946	And fra +te witsunday til +te lentyn sal it ilke niht be saide wid +te sexe last salmis of te nocturne .	IP-MAT	17525962	ilke niht	NP	17525963	niht	N	17525963	niht	N	17525962	ilke niht	NP	17525962	ilke niht	NP
17528320	al	Q	X	'NULL'	NL	CMBENRUL	X	'NULL'	M3	INSTR REL	WRITTEN	'NULL'	PROSE	17528315	ye haue liht al +te nyht brinnande	IP	17528321	al +te nyht	NP	17528323	nyht	N	17528323	nyht	N	17528321	al +te nyht	NP	17528321	al +te nyht	NP
17655766	al	Q	X	'NULL'	WML	CMBRUT3	X	'NULL'	M3	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17655760	and so +tai riden al +tat ny+gt ham forto seche ,	IP-MAT	17655767	al +tat ny+gt	NP	17655769	ny+gt	N	17655769	ny+gt	N	17655767	al +tat ny+gt	NP	17655767	al +tat ny+gt	NP
