1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23928950	some	some	Q	Brady, Nicholas 	1713 	brady-1713 	SERMON 	n/a 	brady-1713-2	23928949	by some devout Souls , the Goodness of whose Intentions 0 *T*-1 may sanctify their Practises	PP	23928951	some devout Souls , the Goodness of whose Intentions 0 *T*-1 may sanctify their Practises	NP	23928953	Souls	soul	NS	23928953	Souls	soul	NS	23928951	some devout Souls , the Goodness of whose Intentions 0 *T*-1 may sanctify their Practises	NP	23928951	some devout Souls , the Goodness of whose Intentions 0 *T*-1 may sanctify their Practises	NP
24124595	all	all	Q	Butler, Joseph 	1726 	butler-1726 	SERMON 	n/a 	butler-1726-1	24124594	with all thy Soul	PP	24124596	all thy Soul	NP	24124598	Soul	soul	N	24124598	Soul	soul	N	24124596	all thy Soul	NP	24124596	all thy Soul	NP
24134122	all	all	Q	Butler, Joseph 	1726 	butler-1726 	SERMON 	n/a 	butler-1726-1	24134121	with all thy Soul	PP	24134123	all thy Soul	NP	24134125	Soul	soul	N	24134125	Soul	soul	N	24134123	all thy Soul	NP	24134123	all thy Soul	NP
24135181	all	all	Q	Butler, Joseph 	1726 	butler-1726 	SERMON 	n/a 	butler-1726-1	24135180	with all our Soul	PP	24135182	all our Soul	NP	24135184	Soul	soul	N	24135184	Soul	soul	N	24135182	all our Soul	NP	24135182	all our Soul	NP
24140784	all	all	Q	Butler, Joseph 	1726 	butler-1726 	SERMON 	n/a 	butler-1726-1	24140783	with all our Soul	PP	24140785	all our Soul	NP	24140787	Soul	soul	N	24140787	Soul	soul	N	24140785	all our Soul	NP	24140785	all our Soul	NP
24214777	all	all	Q	Centlivre, Susanna 	1723 	centlivre-1723 	DRAMA COMEDY 	n/a 	centlivre-1723-2	24214770	<font> Sir Phil. <$$font> With all my Soul .	PP	24214778	all my Soul	NP	24214780	Soul	soul	N	24214780	Soul	soul	N	24214778	all my Soul	NP	24214778	all my Soul	NP
24375577	every	every	Q	Cook, James 	1776 	cook1-1776 	TRAVELOGUE 	n/a 	cook1-1776-1	24375576	and every soul on board must have irretrievably perished .	IP-MAT	24375578	every soul on board	NP	24375579	soul	soul	N	24375579	soul	soul	N	24375578	every soul on board	NP	24375578	every soul on board	NP
24623629	all	all	Q	Davys, Mary 	1716 	davys-1716 	DRAMA COMEDY 	n/a 	davys-1716-1	24623628	with all my Soul	PP	24623630	all my Soul	NP	24623632	Soul	soul	N	24623632	Soul	soul	N	24623630	all my Soul	NP	24623630	all my Soul	NP
24834294	every	every	Q	Ellicott, Charles John et al. 	1881 (published 1885) 	erv-new-1881 	BIBLE 	n/a 	erv-new-1881-2	24834293	upon every soul	PP	24834295	every soul	NP	24834296	soul	soul	N	24834296	soul	soul	N	24834295	every soul	NP	24834295	every soul	NP
24835626	every	every	Q	Ellicott, Charles John et al. 	1881 (published 1885) 	erv-new-1881 	BIBLE 	n/a 	erv-new-1881-2	24835627	every soul , which 0 *T*-2 shall not hearken to that prophet , shall be utterly destroyed from among the people	IP	24835628	every soul , which 0 *T*-2 shall not hearken to that prophet	NP	24835629	soul	soul	N	24835629	soul	soul	N	24835628	every soul , which 0 *T*-2 shall not hearken to that prophet	NP	24835628	every soul , which 0 *T*-2 shall not hearken to that prophet	NP
24913498	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-2	24913497	with all thy soul	PP	24913499	all thy soul	NP	24913501	soul	soul	N	24913501	soul	soul	N	24913499	all thy soul	NP	24913499	all thy soul	NP
24916910	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-2	24916909	with all thy soul	PP	24916911	all thy soul	NP	24916913	soul	soul	N	24916913	soul	soul	N	24916911	all thy soul	NP	24916911	all thy soul	NP
24923582	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-2	24923581	with all thy soul	PP	24923583	all thy soul	NP	24923585	soul	soul	N	24923585	soul	soul	N	24923583	all thy soul	NP	24923583	all thy soul	NP
24924877	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-2	24924876	with all your soul	PP	24924878	all your soul	NP	24924880	soul	soul	N	24924880	soul	soul	N	24924878	all your soul	NP	24924878	all your soul	NP
25366513	all	all	Q	Gisborne, Thomas 	1802 	gisborne-1802 	SERMON 	n/a 	gisborne-1802-2	25366514	all your soul , and all your strength	NP	25366515	all your soul	NP	25366517	soul	soul	N	25366517	soul	soul	N	25366515	all your soul	NP	25366515	all your soul	NP
25372008	all	all	Q	Gisborne, Thomas 	1802 	gisborne-1802 	SERMON 	n/a 	gisborne-1802-2	25372007	with all your soul	PP	25372009	all your soul	NP	25372011	soul	soul	N	25372011	soul	soul	N	25372009	all your soul	NP	25372009	all your soul	NP
