1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Date	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Genre	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Text_name	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17325926	feole	Q	X	'NULL'	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17325925	efter feole +ger	PP	17325927	feole +ger	NP	17325928	+ger	N	17325928	+ger	N	17325927	feole +ger	NP	17325927	feole +ger	NP
17385324	feole	Q	X	'NULL'	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17385325	feole +geres & da+ges	NP	17385326	feole +geres	NP	17385327	+geres	NS	17385327	+geres	NS	17385326	feole +geres	NP	17385326	feole +geres	NP
17544137	ilke	Q	X	'NULL'	NL	CMBENRUL	X	'NULL'	M3	INSTR REL	WRITTEN	'NULL'	PROSE	17544136	yelde ilke +gere +te ferme +tat +tai may liue with-alle	IP	17544138	ilke +gere	NP	17544139	+gere	N	17544139	+gere	N	17544138	ilke +gere	NP	17544138	ilke +gere	NP
17574954	half	Q	X	'NULL'	WML	CMBRUT3	X	'NULL'	M3	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17574953	for half a +geer	PP	17574955	half a +geer	NP	17574957	+geer	N	17574957	+geer	N	17574955	half a +geer	NP	17574955	half a +geer	NP
17579562	half	Q	X	'NULL'	WML	CMBRUT3	X	'NULL'	M3	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17579563	half a +gere & more	NP	17579564	half a +gere	NP	17579566	+gere	N	17579566	+gere	N	17579564	half a +gere	NP	17579564	half a +gere	NP
17593105	al	Q	X	'NULL'	WML	CMBRUT3	X	'NULL'	M3	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17593099	and +tere +tai duellede al a +gere ;	IP-MAT	17593106	al a +gere	NP	17593108	+gere	N	17593108	+gere	N	17593106	al a +gere	NP	17593106	al a +gere	NP
17657374	al	Q	X	'NULL'	WML	CMBRUT3	X	'NULL'	M3	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17657366	& *con* nomen strongliche +te contrey al a +gere .	IP-MAT	17657375	al a +gere	NP	17657377	+gere	N	17657377	+gere	N	17657375	al a +gere	NP	17657375	al a +gere	NP
17685395	euery	Q	CAPGRAVE JOHN	'NULL'	EML	CMCAPCHR	X	'NULL'	M4	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17685385	and *con* relesed hem of her tribute euery vii +gere .	IP-MAT	17685396	euery vii +gere	NP	17685398	+gere	N	17685398	+gere	N	17685396	euery vii +gere	NP	17685396	euery vii +gere	NP
17688797	all	Q	CAPGRAVE JOHN	'NULL'	EML	CMCAPCHR	X	'NULL'	M4	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17688796	In all +tese +geres tyl 0 Crist was xxx +gere of age	PP	17688798	all +tese +geres tyl 0 Crist was xxx +gere of age	NP	17688800	+geres	NS	17688800	+geres	NS	17688798	all +tese +geres tyl 0 Crist was xxx +gere of age	NP	17688798	all +tese +geres tyl 0 Crist was xxx +gere of age	NP
17694833	euery	Q	CAPGRAVE JOHN	'NULL'	EML	CMCAPCHR	X	'NULL'	M4	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17694834	euery +gere on Schere or Maunde +Tursday +te pope schuld consecrate crisme	IP	17694835	euery +gere	NP	17694836	+gere	N	17694836	+gere	N	17694835	euery +gere	NP	17694835	euery +gere	NP
17707496	few	Q	CAPGRAVE JOHN	'NULL'	EML	CMCAPCHR	X	'NULL'	M4	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17707495	within few +geres	PP	17707497	few +geres	NP	17707498	+geres	NS	17707498	+geres	NS	17707497	few +geres	NP	17707497	few +geres	NP
17721211	many	Q	CAPGRAVE JOHN	'NULL'	EML	CMCAPCHR	X	'NULL'	M4	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17721207	he had regned many +geres in Almayne	IP	17721212	many +geres	NP	17721213	+geres	NS	17721213	+geres	NS	17721212	many +geres	NP	17721212	many +geres	NP
17729178	euery	Q	CAPGRAVE JOHN	'NULL'	EML	CMCAPCHR	X	'NULL'	M4	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17729146	and , if 0 it plesed him +tat he myte regne +tus vndir him , he wold gyue him euery +gere iii +tousand mark	IP	17729179	euery +gere	NP	17729180	+gere	N	17729180	+gere	N	17729179	euery +gere	NP	17729179	euery +gere	NP
17740097	many	Q	CAPGRAVE JOHN	'NULL'	EML	CMCAPCHR	X	'NULL'	M4	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17740092	and +tis diuision lastid many +geres .	IP-MAT	17740098	many +geres	NP	17740099	+geres	NS	17740099	+geres	NS	17740098	many +geres	NP	17740098	many +geres	NP
17749032	euery	Q	CAPGRAVE JOHN	'NULL'	EML	CMCAPCHR	X	'NULL'	M4	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17749033	euery +gere aftir in +te fest of Seint Michael i m marc	IP	17749034	euery +gere aftir	NP	17749035	+gere	N	17749035	+gere	N	17749034	euery +gere aftir	NP	17749034	euery +gere aftir	NP
17860254	alle	Q	CHAUCER GEOFFREY	'NULL'	EML	CMCTPROS	FRENCH	'NULL'	M3	NARR IMAG	WRITTEN	'NULL'	PROSE	17860248	I wol remembre me alle the yeres of my lyf in bitternesse of myn herte	IP	17860255	alle the yeres of my lyf	NP	17860257	yeres	NS	17860257	yeres	NS	17860255	alle the yeres of my lyf	NP	17860255	alle the yeres of my lyf	NP
17913958	alle	Q	CHAUCER GEOFFREY	'NULL'	EML	CMCTPROS	FRENCH	'NULL'	M3	NARR IMAG	WRITTEN	'NULL'	PROSE	17913951	" I wol remembre me alle the yeres of my lif in bitternesse of myn herte . "	IP-MAT-SPE	17913959	alle the yeres of my lif	NP	17913961	yeres	NS	17913961	yeres	NS	17913959	alle the yeres of my lif	NP	17913959	alle the yeres of my lif	NP
