1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17642490	bo+te	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17642491	bo+te his enemys were dede	IP	17642492	bo+te his enemys	NP	17642494	enemys	NS	17642494	enemys	NS	17642492	bo+te his enemys	NP	17642492	bo+te his enemys	NP
17713631	all	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17713630	and all enmyes of +te feith he was euyr redy *ICH*-1 to distroye .	IP-MAT	17713632	all enmyes of +te feith	NP	17713633	enmyes	NS	17713633	enmyes	NS	17713632	all enmyes of +te feith	NP	17713632	all enmyes of +te feith	NP
17813771	any	Q	X	EMO	CMCLOUD	X	M3	INSTR REL	WRITTEN	PROSE	17813770	by any goostly enmye	PP	17813772	any goostly enmye	NP	17813774	enmye	N	17813774	enmye	N	17813772	any goostly enmye	NP	17813772	any goostly enmye	NP
17922710	al	Q	X	EML	CMEARLPS	LATIN/FRENCH	M2	X	WRITTEN	PROSE	17922709	amonge al myn enemys	PP	17922711	al myn enemys	NP	17922713	enemys	NS	17922713	enemys	NS	17922711	al myn enemys	NP	17922711	al myn enemys	NP
17922787	alle	Q	X	EML	CMEARLPS	LATIN/FRENCH	M2	X	WRITTEN	PROSE	17922786	Wax alle myn enemys asshamed ,	IP-MAT	17922788	alle myn enemys	NP	17922790	enemys	NS	17922790	enemys	NS	17922788	alle myn enemys	NP	17922788	alle myn enemys	NP
17924844	alle	Q	X	EML	CMEARLPS	LATIN/FRENCH	M2	X	WRITTEN	PROSE	17924843	of alle hys enemys	PP	17924845	alle hys enemys	NP	17924847	enemys	NS	17924847	enemys	NS	17924845	alle hys enemys	NP	17924845	alle hys enemys	NP
17931636	alle	Q	X	EML	CMEARLPS	LATIN/FRENCH	M2	X	WRITTEN	PROSE	17931635	to alle +tyne enemys	PP	17931637	alle +tyne enemys	NP	17931639	enemys	NS	17931639	enemys	NS	17931637	alle +tyne enemys	NP	17931637	alle +tyne enemys	NP
17935450	alle	Q	X	EML	CMEARLPS	LATIN/FRENCH	M2	X	WRITTEN	PROSE	17935449	vp alle myn enemis	PP	17935451	alle myn enemis	NP	17935453	enemis	NS	17935453	enemis	NS	17935451	alle myn enemis	NP	17935451	alle myn enemis	NP
17937805	alle	Q	X	EML	CMEARLPS	LATIN/FRENCH	M2	X	WRITTEN	PROSE	17937804	up alle myn enemis	PP	17937806	alle myn enemis	NP	17937808	enemis	NS	17937808	enemis	NS	17937806	alle myn enemis	NP	17937806	alle myn enemis	NP
17946591	Alle	Q	X	EML	CMEARLPS	LATIN/FRENCH	M2	X	WRITTEN	PROSE	17946592	Alle myn enemys grucched o+gains me ,	IP-MAT	17946593	Alle myn enemys	NP	17946595	enemys	NS	17946595	enemys	NS	17946593	Alle myn enemys	NP	17946593	Alle myn enemys	NP
17980311	al	Q	X	EML	CMEARLPS	LATIN/FRENCH	M2	X	WRITTEN	PROSE	17980309	ioiful al his enemys	IP	17980312	al his enemys	NP	17980314	enemys	NS	17980314	enemys	NS	17980312	al his enemys	NP	17980312	al his enemys	NP
18295723	al	Q	KEMPE MARGERY	EMO	CMKEMPE	X	M4	INSTR REL	WRITTEN	PROSE	18295722	of al +tin enmys	PP	18295724	al +tin enmys	NP	18295726	enmys	NS	18295726	enmys	NS	18295724	al +tin enmys	NP	18295724	al +tin enmys	NP
18319110	alle	Q	KEMPE MARGERY	EMO	CMKEMPE	X	M4	INSTR REL	WRITTEN	PROSE	18319109	of alle thyn enmys	PP	18319111	alle thyn enmys	NP	18319113	enmys	NS	18319113	enmys	NS	18319111	alle thyn enmys	NP	18319111	alle thyn enmys	NP
18343966	alle	Q	KEMPE MARGERY	EMO	CMKEMPE	X	M4	INSTR REL	WRITTEN	PROSE	18343965	for alle hir enmys	PP	18343967	alle hir enmys	NP	18343969	enmys	NS	18343969	enmys	NS	18343967	alle hir enmys	NP	18343967	alle hir enmys	NP
18376460	many	Q	KEMPE MARGERY	EMO	CMKEMPE	X	M4	INSTR REL	WRITTEN	PROSE	18376455	& also sche had many enmyis whech 0 *T*-1 slawndryd hir , *T*-1 scornyd hir , & *T*-1 despysed hir , of whech 0 o prest *T*-2 cam to hir whil 0 sche was in +te seyd Mynstyr & , takyng hir be +te coler of +te gowne , *con* seyd , " +Tu wolf , what *T*-3 is +tis cloth 0 +tat +tu hast on *T*-4 ? "	IP-MAT	18376461	many enmyis whech 0 *T*-1 slawndryd hir , *T*-1 scornyd hir , & *T*-1 despysed hir , of whech 0 o prest *T*-2 cam to hir whil 0 sche was in +te seyd Mynstyr & , takyng hir be +te coler of +te gowne , *con* seyd , " +Tu wolf , what *T*-3 is +tis cloth 0 +tat +tu hast on *T*-4	NP	18376462	enmyis	NS	18376462	enmyis	NS	18376461	many enmyis whech 0 *T*-1 slawndryd hir , *T*-1 scornyd hir , & *T*-1 despysed hir , of whech 0 o prest *T*-2 cam to hir whil 0 sche was in +te seyd Mynstyr & , takyng hir be +te coler of +te gowne , *con* seyd , " +Tu wolf , what *T*-3 is +tis cloth 0 +tat +tu hast on *T*-4	NP	18376461	many enmyis whech 0 *T*-1 slawndryd hir , *T*-1 scornyd hir , & *T*-1 despysed hir , of whech 0 o prest *T*-2 cam to hir whil 0 sche was in +te seyd Mynstyr & , takyng hir be +te coler of +te gowne , *con* seyd , " +Tu wolf , what *T*-3 is +tis cloth 0 +tat +tu hast on *T*-4	NP
18379869	alle	Q	KEMPE MARGERY	EMO	CMKEMPE	X	M4	INSTR REL	WRITTEN	PROSE	18379868	ageyn alle hir enmyis , gostly & bodily	PP	18379870	alle hir enmyis , gostly & bodily	NP	18379872	enmyis	NS	18379872	enmyis	NS	18379870	alle hir enmyis , gostly & bodily	NP	18379870	alle hir enmyis , gostly & bodily	NP
18494208	alle	Q	MALORY THOMAS	WML	CMMALORY	X	M4	NARR IMAG	WRITTEN	PROSE	18494207	overcome alle his enemyes	IP	18494209	alle his enemyes	NP	18494211	enemyes	NS	18494211	enemyes	NS	18494209	alle his enemyes	NP	18494209	alle his enemyes	NP
18600675	none	Q	MALORY THOMAS	WML	CMMALORY	X	M4	NARR IMAG	WRITTEN	PROSE	18600676	none enemy shold slay you	IP	18600677	none enemy	NP	18600678	enemy	N	18600678	enemy	N	18600677	none enemy	NP	18600677	none enemy	NP
18817317	mony	Q	MIRK JOHN	WMO	CMMIRK	X	M3/4	INSTR REL	X	PROSE	18817312	he *ICH*-1 schall haue mony enmys 0 +tat *T*-2 say+t +te so+te now allway	IP	18817318	mony enmys	NP	18817319	enmys	NS	18817319	enmys	NS	18817318	mony enmys	NP	18817318	mony enmys	NP
19139677	alle	Q	PURVEY JOHN	SL	CMPURVEY	X	M3	INSTR REL	WRITTEN	PROSE	19139676	of alle his enemyes	PP	19139678	alle his enemyes	NP	19139680	enemyes	NS	19139680	enemyes	NS	19139678	alle his enemyes	NP	19139678	alle his enemyes	NP
19178035	alle	Q	PURVEY JOHN	SL	CMPURVEY	X	M3	INSTR REL	WRITTEN	PROSE	19178033	to slee alle hire enemyes in his empire	IP	19178036	alle hire enemyes in his empire	NP	19178038	enemyes	NS	19178038	enemyes	NS	19178036	alle hire enemyes in his empire	NP	19178036	alle hire enemyes in his empire	NP
19232770	non	Q	REYNES ROBERT	EML	CMREYNES	X	M4	INSTR SEC	WRITTEN	PROSE	19232771	non enmy ner sodeyn deth , ner fyer , ner watyr , ner poyson , ner preson , ner thonder , ner levyn , ner +te feuers , ner noon other wykkyd evyll	NP	19232772	non enmy	NP	19232773	enmy	N	19232773	enmy	N	19232772	non enmy	NP	19232772	non enmy	NP
19234458	alle	Q	REYNES ROBERT	EML	CMREYNES	X	M4	INSTR SEC	WRITTEN	PROSE	19234457	of alle his enmyes	PP	19234459	alle his enmyes	NP	19234461	enmyes	NS	19234461	enmyes	NS	19234459	alle his enmyes	NP	19234459	alle his enmyes	NP
19253047	all	Q	Richard Rolle	Northern (Yorkshire?)	cmrollep.m24	'NULL'	M1	'NULL'	'NULL'	PROSE	19253046	agaynes all +tar enmys	PP	19253048	all +tar enmys	NP	19253050	enmys	NS	19253050	enmys	NS	19253048	all +tar enmys	NP	19253048	all +tar enmys	NP
19267583	na	Q	Richard Rolle	Northern (Yorkshire?)	cmrollep.m24	'NULL'	M1	'NULL'	'NULL'	PROSE	19267578	for anely wretchednes has na enmy .	IP-MAT	19267584	na enmy	NP	19267585	enmy	N	19267585	enmy	N	19267584	na enmy	NP	19267584	na enmy	NP
19620576	noon	Q	X	EML	CMWYCSER	X	M3	INSTR REL	X	PROSE	19620572	his lordschipe ha+t noon enemye but falsehede	IP	19620577	noon enemye but falsehede	NP	19620578	enemye	N	19620578	enemye	N	19620577	noon enemye but falsehede	NP	19620577	noon enemye but falsehede	NP
