1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17219288	no	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17219287	*T*-1 no blood of synne haad defoyled	IP	17219289	no blood of synne	NP	17219290	blood	N	17219290	blood	N	17219289	no blood of synne	NP	17219289	no blood of synne	NP
17695577	mech	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17695573	This man spilt mech Cristen blod ,	IP-MAT	17695578	mech Cristen blod	NP	17695580	blod	N	17695580	blod	N	17695578	mech Cristen blod	NP	17695578	mech Cristen blod	NP
17915822	no	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	M3	NARR IMAG	WRITTEN	PROSE	17915823	no blotte be bihynde	IP	17915824	no blotte	NP	17915825	blotte	N	17915825	blotte	N	17915824	no blotte	NP	17915824	no blotte	NP
18281146	al	Q	X	WMO	CMKATHE	X	M1	NARR NON-IMAG	WRITTEN	PROSE	18281145	wi+d al +tis blod	PP	18281147	al +tis blod	NP	18281149	blod	N	18281149	blod	N	18281147	al +tis blod	NP	18281147	al +tis blod	NP
18492148	no	Q	MALORY THOMAS	WML	CMMALORY	X	M4	NARR IMAG	WRITTEN	PROSE	18492147	of no hyghe blood	PP	18492149	no hyghe blood	NP	18492151	blood	N	18492151	blood	N	18492149	no hyghe blood	NP	18492149	no hyghe blood	NP
18517176	muche	Q	MALORY THOMAS	WML	CMMALORY	X	M4	NARR IMAG	WRITTEN	PROSE	18517175	and muche bloode they bledde bothe , that all the place $there $as {TEXT:thereas} *T*-1 they fought was ovirbledde with bloode .	IP-MAT	18517177	muche bloode	NP	18517178	bloode	N	18517178	bloode	N	18517177	muche bloode	NP	18517177	muche bloode	NP
18519578	no	Q	MALORY THOMAS	WML	CMMALORY	X	M4	NARR IMAG	WRITTEN	PROSE	18519557	for whyles 0 ye have the scawberde uppon you , ye shall lose no blood , be ye never so sore wounded .	IP-MAT-SPE	18519579	no blood	NP	18519580	blood	N	18519580	blood	N	18519579	no blood	NP	18519579	no blood	NP
18533156	no	Q	MALORY THOMAS	WML	CMMALORY	X	M4	NARR IMAG	WRITTEN	PROSE	18533151	for ye shall lose no bloode whyle 0 ye have the scawberde uppon you , thoughe 0 ye have as many woundis uppon you as 0 0 *T*-1 ye may have . '	IP-MAT	18533157	no bloode	NP	18533158	bloode	N	18533158	bloode	N	18533157	no bloode	NP	18533157	no bloode	NP
18678929	all	Q	X	EML	CMMANDEV	FRENCH	M3	NARR IMAG	WRITTEN	PROSE	18678930	all the gode blood of his reme	IP	18678931	all the gode blood of his reme	NP	18678934	blood	N	18678934	blood	N	18678931	all the gode blood of his reme	NP	18678931	all the gode blood of his reme	NP
18678976	all	Q	X	EML	CMMANDEV	FRENCH	M3	NARR IMAG	WRITTEN	PROSE	18678977	all the riall blood was lost	IP	18678978	all the riall blood	NP	18678981	blood	N	18678981	blood	N	18678978	all the riall blood	NP	18678978	all the riall blood	NP
