1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23278941	all	all	Q	Andrews, John 	1785-1786 	andrews1-1785 	HISTORY 	n/a 	andrews1-1785-2	23278940	*T*-2 all men are soldiers	IP	23278942	all men	NP	23278943	men	man	NS	23278943	men	man	NS	23278942	all men	NP	23278942	all men	NP
23282387	any	any	Q	Andrews, John 	1785-1786 	andrews1-1785 	HISTORY 	n/a 	andrews1-1785-2	23282388	any men braver than themselves	IP	23282389	any men	NP	23282390	men	man	NS	23282390	men	man	NS	23282389	any men	NP	23282389	any men	NP
23290508	No	no	Q	Andrews, James Pettit 	1796 	andrews-1796 	HISTORY 	n/a 	andrews2-1796-2	23290507	' No man , ' wrote the orthodox Elizabeth to Archbishop Whitgift , ' should be suffered to decline either to the *ICH*-1 right or left hand from the drawn line limited by authority . '	IP-MAT-SPE	23290509	No man	NP	23290510	man	man	N	23290510	man	man	N	23290509	No man	NP	23290509	No man	NP
23310295	all	all	Q	anonymous (see Remarks) 	1711 	anon1-1711 	EDUC TREAT 	n/a 	anon1-1711-1	23310291	*T*-3 he Advises all Men to Learn it after the same Method	IP	23310296	all Men	NP	23310297	Men	man	NS	23310297	Men	man	NS	23310296	all Men	NP	23310296	all Men	NP
23310647	no	no	Q	anonymous (see Remarks) 	1711 	anon1-1711 	EDUC TREAT 	n/a 	anon1-1711-1	23310644	and yet no Man for many Years has Writ finer <font> Latin <$$font> than 0 0 *T*-1 he did * .	IP-MAT	23310648	no Man	NP	23310649	Man	man	N	23310649	Man	man	N	23310648	no Man	NP	23310648	no Man	NP
23321659	many	many	Q	Anonymous author of 'The index-writer' 	1732 	anon2-1732 	EDUC TREAT 	n/a 	anon2-1732-2	23321658	of many Men	PP	23321660	many Men	NP	23321661	Men	man	NS	23321661	Men	man	NS	23321660	many Men	NP	23321660	many Men	NP
23322206	some	some	Q	Anonymous author of 'The index-writer' 	1732 	anon2-1732 	EDUC TREAT 	n/a 	anon2-1732-2	23322207	some Man of Leisure and Judgment *ICH*-4 might be found out willing to take the Pains of making use of , and uniting their learned Labours towards finishing that Work	IP	23322208	some Man of Leisure and Judgment *ICH*-4	NP	23322209	Man	man	N	23322209	Man	man	N	23322208	some Man of Leisure and Judgment *ICH*-4	NP	23322208	some Man of Leisure and Judgment *ICH*-4	NP
23328218	some	some	Q	Anonymous author of 'The index-writer' 	1732 	anon2-1732 	EDUC TREAT 	n/a 	anon2-1732-2	23328217	*T*-1 some Men set up for Reputation	IP	23328219	some Men	NP	23328220	Men	man	NS	23328220	Men	man	NS	23328219	some Men	NP	23328219	some Men	NP
23328567	all	all	Q	Anonymous author of 'The index-writer' 	1732 	anon2-1732 	EDUC TREAT 	n/a 	anon2-1732-2	23328553	*T*-3 *pro* must be acknowledged , more or less , affect all Men	IP	23328568	all Men	NP	23328569	Men	man	NS	23328569	Men	man	NS	23328568	all Men	NP	23328568	all Men	NP
23334756	no	no	Q	anonymous 	1772 	anon3-1772 	BIOGR OTHER 	n/a 	anon3-1772-2	23334753	*T*-2 indeed no man who 0 *T*-3 was attached to a free , legal , and limited government , could be	IP	23334757	no man who 0 *T*-3 was attached to a free , legal , and limited government	NP	23334758	man	man	N	23334758	man	man	N	23334757	no man who 0 *T*-3 was attached to a free , legal , and limited government	NP	23334757	no man who 0 *T*-3 was attached to a free , legal , and limited government	NP
