1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17374152	alle	Q	X	WMO	CMANCRIW	X	M1	INSTR REL	WRITTEN	PROSE	17374154	alle londes lei+gen on *T*-2	IP	17374155	alle londes	NP	17374156	londes	NS	17374156	londes	NS	17374155	alle londes	NP	17374155	alle londes	NP
17572902	alle	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17572899	he conquered alle +t=e= landes abowte hym , so that almoste all +t=e= kynges of +t=e= world to hym were *ICH*-5 entendaunt	IP	17572903	alle +t=e= landes abowte hym	NP	17572905	landes	NS	17572905	landes	NS	17572903	alle +t=e= landes abowte hym	NP	17572903	alle +t=e= landes abowte hym	NP
17576258	al	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17576242	And whan 0 al this was don , kyng Latyme +gaf al +tat land 0 +tat *T*-1 was Turocelyns ,	IP-MAT	17576259	al +tat land 0 +tat *T*-1 was Turocelyns	NP	17576261	land	N	17576261	land	N	17576259	al +tat land 0 +tat *T*-1 was Turocelyns	NP	17576259	al +tat land 0 +tat *T*-1 was Turocelyns	NP
17579592	al	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17579574	And Brut *ICH*-1 in +t=e= mene-tyme , & his cumpanye , destroyed al +t=e= land of Gascoigne ,	IP-MAT	17579593	al +t=e= land of Gascoigne	NP	17579595	land	N	17579595	land	N	17579593	al +t=e= land of Gascoigne	NP	17579593	al +t=e= land of Gascoigne	NP
17581795	al	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17581796	al +tis land Britaigne	IP	17581797	al +tis land	NP	17581799	land	N	17581799	land	N	17581797	al +tis land	NP	17581797	al +tis land	NP
17581989	all	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17581985	Brut had sowte all +t=e= lond in lengthe & brede	IP	17581990	all +t=e= lond	NP	17581992	lond	N	17581992	lond	N	17581990	all +t=e= lond	NP	17581990	all +t=e= lond	NP
17582221	all	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17582220	of all +t=e= land of Brytaigne	PP	17582222	all +t=e= land of Brytaigne	NP	17582224	land	N	17582224	land	N	17582222	all +t=e= land of Brytaigne	NP	17582222	all +t=e= land of Brytaigne	NP
17582327	all	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17582326	of all his land	PP	17582328	all his land	NP	17582330	land	N	17582330	land	N	17582328	all his land	NP	17582328	all his land	NP
17583497	all	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17583494	& *con* seised all +t=e= land in-to her hand , for-as-myche as 0 sche was here Fadrys eyr ,	IP-MAT	17583498	all +t=e= land	NP	17583500	land	N	17583500	land	N	17583498	all +t=e= land	NP	17583498	all +t=e= land	NP
17588921	al	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17588913	And +to Morgan and Conenedag seisede al +te lande ,	IP-MAT	17588922	al +te lande	NP	17588924	lande	N	17588924	lande	N	17588922	al +te lande	NP	17588922	al +te lande	NP
