1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17226417	al	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17226416	of al +ti soule	PP	17226418	al +ti soule	NP	17226420	soule	N	17226420	soule	N	17226418	al +ti soule	NP	17226418	al +ti soule	NP
17259744	euery	Q	X	EML	CMAELR4	FRENCH	M4	INSTR REL	WRITTEN	PROSE	17259743	to euery chosen soule	PP	17259745	euery chosen soule	NP	17259747	soule	N	17259747	soule	N	17259745	euery chosen soule	NP	17259745	euery chosen soule	NP
17266530	alle	Q	X	WMO	CMANCRIW	X	M1	INSTR REL	WRITTEN	PROSE	17266529	for alle Cristene saule	PP	17266531	alle Cristene saule	NP	17266533	saule	NS	17266533	saule	NS	17266531	alle Cristene saule	NP	17266531	alle Cristene saule	NP
17276250	al	Q	X	WMO	CMANCRIW	X	M1	INSTR REL	WRITTEN	PROSE	17276240	Weilawei he sei+d min eche haue+d irobbed al min saule .	IP-MAT-SPE	17276251	al min saule	NP	17276253	saule	N	17276253	saule	N	17276251	al min saule	NP	17276251	al min saule	NP
17288969	na	Q	X	WMO	CMANCRIW	X	M1	INSTR REL	WRITTEN	PROSE	17288958	Ach ure lauerd wi+d $+tis cos ne cusse+d na saule . 0 +te *T*-1 luue+d ani +ting buten him & +tilke +tinges for him 0 +te *exp* helpe+d him *T*-2 to habben .	IP-MAT	17288970	na saule . 0 +te *T*-1 luue+d ani +ting buten him & +tilke +tinges for him 0 +te *exp* helpe+d him *T*-2 to habben	NP	17288971	saule	N	17288971	saule	N	17288970	na saule . 0 +te *T*-1 luue+d ani +ting buten him & +tilke +tinges for him 0 +te *exp* helpe+d him *T*-2 to habben	NP	17288970	na saule . 0 +te *T*-1 luue+d ani +ting buten him & +tilke +tinges for him 0 +te *exp* helpe+d him *T*-2 to habben	NP
17395293	alle	Q	X	WMO	CMANCRIW	X	M1	INSTR REL	WRITTEN	PROSE	17395292	& alle cristene saule	CONJP	17395294	alle cristene saule	NP	17395296	saule	N	17395296	saule	N	17395294	alle cristene saule	NP	17395294	alle cristene saule	NP
17517733	al	Q	X	NL	CMBENRUL	X	M3	INSTR REL	WRITTEN	PROSE	17517732	wid al yure saul	PP	17517734	al yure saul	NP	17517736	saul	N	17517736	saul	N	17517734	al yure saul	NP	17517734	al yure saul	NP
17547694	both	Q	X	NL	CMBENRUL	X	M3	INSTR REL	WRITTEN	PROSE	17547672	And when 0 +te abbas and +te prioresse er of contrary opynion , both thayre awne saules bus nedly be in perel in +tat dissensione ,	IP-MAT	17547695	both thayre awne saules	NP	17547698	saules	NS	17547698	saules	NS	17547695	both thayre awne saules	NP	17547695	both thayre awne saules	NP
17559863	no	Q	CHAUCER GEOFFREY	EMO	CMBOETH	LATIN/FRENCH	M3	X	WRITTEN	PROSE	17559864	no felyng soules <paren> ne no naturel werkynges servynge to appetites	NP	17559865	no felyng soules	NP	17559867	soules	NS	17559867	soules	NS	17559865	no felyng soules	NP	17559865	no felyng soules	NP
17560506	none	Q	CHAUCER GEOFFREY	EMO	CMBOETH	LATIN/FRENCH	M3	X	WRITTEN	PROSE	17560503	*T*-1 ne haven none soules	IP	17560507	none soules	NP	17560508	soules	NS	17560508	soules	NS	17560507	none soules	NP	17560507	none soules	NP
