1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17538892	alle	Q	X	NL	CMBENRUL	X	M3	INSTR REL	WRITTEN	PROSE	17538875	At te bigining of lentyn sal be broght in-til +te chapitur alle +te bokis ,	IP-MAT	17538893	alle +te bokis	NP	17538895	bokis	NS	17538895	bokis	NS	17538893	alle +te bokis	NP	17538893	alle +te bokis	NP
17550680	na	Q	X	NL	CMBENRUL	X	M3	INSTR REL	WRITTEN	PROSE	17550679	Of na boke	PP	17550681	na boke	NP	17550682	boke	N	17550682	boke	N	17550681	na boke	NP	17550681	na boke	NP
17656785	menye	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17656783	*arb* mak menye bokes	IP	17656786	menye bokes	NP	17656787	bokes	NS	17656787	bokes	NS	17656786	menye bokes	NP	17656786	menye bokes	NP
17656837	meny	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17656836	and meny o+tere bokes of gestes *ICH*-3 , he *ICH*-8 lete *ICH*-1 ham write , 0 +tat *T*-2 were of grete wisdome and of gode lernyng , +trou+g whiche bokes 0 *T*-4 meny man *ICH*-5 may him amende 0 +tat *T*-6 wille ham rede and oppon * lok ; oppon whos soule 0 *T*-1 almighty God haue mercy !	IP-MAT	17656838	meny o+tere bokes of gestes *ICH*-3	NP	17656840	bokes	NS	17656840	bokes	NS	17656838	meny o+tere bokes of gestes *ICH*-3	NP	17656838	meny o+tere bokes of gestes *ICH*-3	NP
17684144	many	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17684140	This Plato mad many bokes	IP-MAT	17684145	many bokes	NP	17684146	bokes	NS	17684146	bokes	NS	17684145	many bokes	NP	17684145	many bokes	NP
17685801	many	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17685798	for to gader many bokes into her tresoure	IP	17685802	many bokes	NP	17685803	bokes	NS	17685803	bokes	NS	17685802	many bokes	NP	17685802	many bokes	NP
17692149	many	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17692146	He mad many bokis of +tis craft , whos names 0 *T*-1 be +tese : Almagest , Perspectif , Centilogie , and o+tir .	IP-MAT	17692150	many bokis of +tis craft , whos names 0 *T*-1 be +tese : Almagest , Perspectif , Centilogie , and o+tir	NP	17692151	bokis	NS	17692151	bokis	NS	17692150	many bokis of +tis craft , whos names 0 *T*-1 be +tese : Almagest , Perspectif , Centilogie , and o+tir	NP	17692150	many bokis of +tis craft , whos names 0 *T*-1 be +tese : Almagest , Perspectif , Centilogie , and o+tir	NP
17697008	all	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17697009	all +te bokes 0 0 *T*-2 he mite gete 0 +tat *T*-3 spoke of Crist he brent hem withoute dispensacion	IP	17697010	all +te bokes 0 0 *T*-2 he mite gete 0 +tat *T*-3 spoke of Crist	NP	17697012	bokes	NS	17697012	bokes	NS	17697010	all +te bokes 0 0 *T*-2 he mite gete 0 +tat *T*-3 spoke of Crist	NP	17697010	all +te bokes 0 0 *T*-2 he mite gete 0 +tat *T*-3 spoke of Crist	NP
17700697	many	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17700695	*T*-3 wrot many notabel bokes and episteles	IP	17700698	many notabel bokes and episteles	NP	17700700	bokes	NS	17700700	bokes	NS	17700698	many notabel bokes and episteles	NP	17700698	many notabel bokes and episteles	NP
17701468	many	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17701465	He mad many bokes ,	IP-MAT	17701469	many bokes	NP	17701470	bokes	NS	17701470	bokes	NS	17701469	many bokes	NP	17701469	many bokes	NP
17732088	many	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17732085	He mad many fructuous bokes , drawyn mech oute of Seynt Austen werkis .	IP-MAT	17732089	many fructuous bokes , drawyn mech oute of Seynt Austen werkis	NP	17732091	bokes	NS	17732091	bokes	NS	17732089	many fructuous bokes , drawyn mech oute of Seynt Austen werkis	NP	17732089	many fructuous bokes , drawyn mech oute of Seynt Austen werkis	NP
17741671	many	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17741669	oute of many bokes	PP	17741672	many bokes	NP	17741673	bokes	NS	17741673	bokes	NS	17741672	many bokes	NP	17741672	many bokes	NP
17741767	many	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17741766	of many bokes , specialy upon scripture	PP	17741768	many bokes , specialy upon scripture	NP	17741769	bokes	NS	17741769	bokes	NS	17741768	many bokes , specialy upon scripture	NP	17741768	many bokes , specialy upon scripture	NP
17744130	al	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17744127	He beqwathe al his bokes to +te Frere Menoures of Oxenforth .	IP-MAT	17744131	al his bokes	NP	17744133	bokes	NS	17744133	bokes	NS	17744131	al his bokes	NP	17744131	al his bokes	NP
17789581	many	Q	CAPGRAVE JOHN	EML	CMCAPSER	X	M4	INSTR REL	X	PROSE	17789573	We haue in our libraries many sundry bookes 0 +tat *T*-1 to chanones of +tat hous mad ;	IP-MAT	17789582	many sundry bookes 0 +tat *T*-1 to chanones of +tat hous mad	NP	17789584	bookes	NS	17789584	bookes	NS	17789582	many sundry bookes 0 +tat *T*-1 to chanones of +tat hous mad	NP	17789582	many sundry bookes 0 +tat *T*-1 to chanones of +tat hous mad	NP
18236333	every	Q	X	EMO	CMINNOCE	X	M4	INSTR REL	X	PROSE	18236332	in every boke of servyce	PP	18236334	every boke of servyce	NP	18236335	boke	N	18236335	boke	N	18236334	every boke of servyce	NP	18236334	every boke of servyce	NP
18326533	no	Q	KEMPE MARGERY	EMO	CMKEMPE	X	M4	INSTR REL	WRITTEN	PROSE	18326521	" Syr , " sche seyth , " byith no boke of hym ,	IP-IMP-SPE	18326534	no boke	NP	18326535	boke	N	18326535	boke	N	18326534	no boke	NP	18326534	no boke	NP
18394960	many	Q	KEMPE MARGERY	EMO	CMKEMPE	X	M4	INSTR REL	WRITTEN	PROSE	18394961	many a good boke of hy contemplacyon & o+ter bokys , as +te Bybyl wyth doctowrys +ter-up-on , Seynt Brydys boke , Hyltons boke , Bone-ventur , Stimulus Amoris , Incendium Amoris , & swech o+ter	NP	18394962	many a good boke of hy contemplacyon	NP	18394965	boke	N	18394965	boke	N	18394962	many a good boke of hy contemplacyon	NP	18394962	many a good boke of hy contemplacyon	NP
18695364	all	Q	X	EML	CMMANDEV	FRENCH	M3	NARR IMAG	WRITTEN	PROSE	18695363	be all the bokes of Astronomye	PP	18695365	all the bokes of Astronomye	NP	18695367	bokes	NS	18695367	bokes	NS	18695365	all the bokes of Astronomye	NP	18695365	all the bokes of Astronomye	NP
18866541	all	Q	?	East Midlands (Southwest Lincolnshire)	cmorm.po.m1	'NULL'	M1	'NULL'	'NULL'	VERSE	18866540	upponn all +tiss boc	PP	18866542	all +tiss boc	NP	18866544	boc	N	18866544	boc	N	18866542	all +tiss boc	NP	18866542	all +tiss boc	NP
18941570	all	Q	?	East Midlands (Southwest Lincolnshire)	cmorm.po.m1	'NULL'	M1	'NULL'	'NULL'	VERSE	18941569	Off all +te boc i Godess hus	PP	18941571	all +te boc i Godess hus	NP	18941573	boc	N	18941573	boc	N	18941571	all +te boc i Godess hus	NP	18941571	all +te boc i Godess hus	NP
19015223	feawe	Q	X	EMO	CMPETERB	X	M1	NARR NON-IMAG	WRITTEN	PROSE	19015224	feawe bec & iii messehakeles	NP	19015225	feawe bec	NP	19015226	bec	NS	19015226	bec	NS	19015225	feawe bec	NP	19015225	feawe bec	NP
19039323	meny	Q	TREVISA JOHN	SL	CMPOLYCH	LATIN	M3	NARR NON-IMAG	WRITTEN	PROSE	19039316	Isedre lefte after hym meny goode bookes 0 +tat *T*-1 he hadde i-made :	IP-MAT	19039324	meny goode bookes 0 +tat *T*-1 he hadde i-made	NP	19039326	bookes	NS	19039326	bookes	NS	19039324	meny goode bookes 0 +tat *T*-1 he hadde i-made	NP	19039324	meny goode bookes 0 +tat *T*-1 he hadde i-made	NP
19039368	meny	Q	TREVISA JOHN	SL	CMPOLYCH	LATIN	M3	NARR NON-IMAG	WRITTEN	PROSE	19039367	and meny o+ter good bookes	CONJP	19039369	meny o+ter good bookes	NP	19039372	bookes	NS	19039372	bookes	NS	19039369	meny o+ter good bookes	NP	19039369	meny o+ter good bookes	NP
19065126	many	Q	TREVISA JOHN	SL	CMPOLYCH	LATIN	M3	NARR NON-IMAG	WRITTEN	PROSE	19065123	and *con* made many noble bookes in bo+te of philosofie .	IP-MAT	19065127	many noble bookes	NP	19065129	bookes	NS	19065129	bookes	NS	19065127	many noble bookes	NP	19065127	many noble bookes	NP
19124276	alle	Q	PURVEY JOHN	SL	CMPURVEY	X	M3	INSTR REL	WRITTEN	PROSE	19124275	for alle the bokis of the Bible of the oolde testament	PP	19124277	alle the bokis of the Bible of the oolde testament	NP	19124279	bokis	NS	19124279	bokis	NS	19124277	alle the bokis of the Bible of the oolde testament	NP	19124277	alle the bokis of the Bible of the oolde testament	NP
19125136	alle	Q	PURVEY JOHN	SL	CMPURVEY	X	M3	INSTR REL	WRITTEN	PROSE	19125123	netheles Jerom , in suynge Ebreyes , comprehendith alle these bookis in xxij. ;	IP-MAT	19125137	alle these bookis	NP	19125139	bookis	NS	19125139	bookis	NS	19125137	alle these bookis	NP	19125137	alle these bookis	NP
19126309	alle	Q	PURVEY JOHN	SL	CMPURVEY	X	M3	INSTR REL	WRITTEN	PROSE	19126306	But sothely alle the bookis of the newe testament , that is , foure gospelleris , Matheu , Mark , Luk , and Jon ; xij. pistelis of Poul , vij. smale pistils , the Dedis of Apostlis , and the Apocalips ben fulli of autorite of bileue ;	IP-MAT	19126310	alle the bookis of the newe testament , that is , foure gospelleris , Matheu , Mark , Luk , and Jon ; xij. pistelis of Poul , vij. smale pistils , the Dedis of Apostlis , and the Apocalips	NP	19126312	bookis	NS	19126312	bookis	NS	19126310	alle the bookis of the newe testament , that is , foure gospelleris , Matheu , Mark , Luk , and Jon ; xij. pistelis of Poul , vij. smale pistils , the Dedis of Apostlis , and the Apocalips	NP	19126310	alle the bookis of the newe testament , that is , foure gospelleris , Matheu , Mark , Luk , and Jon ; xij. pistelis of Poul , vij. smale pistils , the Dedis of Apostlis , and the Apocalips	NP
19176554	alle	Q	PURVEY JOHN	SL	CMPURVEY	X	M3	INSTR REL	WRITTEN	PROSE	19176553	amonge alle the bookis of the elde testament	PP	19176555	alle the bookis of the elde testament	NP	19176557	bookis	NS	19176557	bookis	NS	19176555	alle the bookis of the elde testament	NP	19176555	alle the bookis of the elde testament	NP
19179694	Noo	Q	PURVEY JOHN	SL	CMPURVEY	X	M3	INSTR REL	WRITTEN	PROSE	19179695	Noo book in the eld testament is hardere to vndirstonding to vs Latyns ,	IP-MAT	19179696	Noo book in the eld testament	NP	19179697	book	N	19179697	book	N	19179696	Noo book in the eld testament	NP	19179696	Noo book in the eld testament	NP
19181080	no	Q	PURVEY JOHN	SL	CMPURVEY	X	M3	INSTR REL	WRITTEN	PROSE	19181077	Ecclesiastici be no book of bileeue	IP	19181081	no book of bileeue	NP	19181082	book	N	19181082	book	N	19181081	no book of bileeue	NP	19181081	no book of bileeue	NP
19202963	alle	Q	PURVEY JOHN	SL	CMPURVEY	X	M3	INSTR REL	WRITTEN	PROSE	19202962	of alle oure bokis	PP	19202964	alle oure bokis	NP	19202966	bokis	NS	19202966	bokis	NS	19202964	alle oure bokis	NP	19202964	alle oure bokis	NP
19204919	manie	Q	PURVEY JOHN	SL	CMPURVEY	X	M3	INSTR REL	WRITTEN	PROSE	19204918	of manie bokis	PP	19204920	manie bokis	NP	19204921	bokis	NS	19204921	bokis	NS	19204920	manie bokis	NP	19204920	manie bokis	NP
19229741	ony	Q	REYNES ROBERT	EML	CMREYNES	X	M4	INSTR SEC	WRITTEN	PROSE	19229740	for ony book of gret prys	PP	19229742	ony book of gret prys	NP	19229743	book	N	19229743	book	N	19229742	ony book of gret prys	NP	19229742	ony book of gret prys	NP
19271724	many	Q	Richard Rolle	Northern (Yorkshire?)	cmrollep.m24	'NULL'	M1	'NULL'	'NULL'	PROSE	19271716	*exp* +Te thare noght covayte gretely many bokes ;	IP-MAT	19271725	many bokes	NP	19271726	bokes	NS	19271726	bokes	NS	19271725	many bokes	NP	19271725	many bokes	NP
