1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17203564	al	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17203561	heore strecche al heore herte to saue clennesse and chastete	IP	17203565	al heore herte	NP	17203567	herte	N	17203567	herte	N	17203565	al heore herte	NP	17203565	al heore herte	NP
17206598	al	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17206578	*T*-5 a good womman , and specially a mayde , schulde so *ICH*-6 vse al here herte and wit +tat , +tei+g 0 sche wolde , sche mowe | not +tenke bote on Godes lawe	IP	17206599	al here herte and wit	NP	17206601	herte	N	17206601	herte	N	17206599	al here herte and wit	NP	17206599	al here herte and wit	NP
17216296	al	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17216295	wit al +tyn herte	PP	17216297	al +tyn herte	NP	17216299	herte	N	17216299	herte	N	17216297	al +tyn herte	NP	17216297	al +tyn herte	NP
17220014	al	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17220013	wit al +tyn herte	PP	17220015	al +tyn herte	NP	17220017	herte	N	17220017	herte	N	17220015	al +tyn herte	NP	17220015	al +tyn herte	NP
17222572	al	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17222567	pyte okepyed now al +tyn herte	IP	17222573	al +tyn herte	NP	17222575	herte	N	17222575	herte	N	17222573	al +tyn herte	NP	17222573	al +tyn herte	NP
17230358	al	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17230357	of al oure herte	PP	17230359	al oure herte	NP	17230361	herte	N	17230361	herte	N	17230359	al oure herte	NP	17230359	al oure herte	NP
17234874	al	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17234873	*T*-1 al +tyn herte and +ty soule schulde be set only in his *ICH*-2 loue , +te wyche 0 , *T*-3 al+tou+g 0 ha my+gte ry+gtfully turne +te same sentence of dee+t *ICH*-4 to +te 0 +tat *T*-5 he smyt on hem 0 +tat *T*-6 schulle be dampned , $+git of his goodnesse ha+t leuere to putte +te on his ri+gt syde and * associe +te to his blisful derlyng	IP	17234875	al +tyn herte and +ty soule	NP	17234877	herte	N	17234877	herte	N	17234875	al +tyn herte and +ty soule	NP	17234875	al +tyn herte and +ty soule	NP
17260087	noon	Q	X	EML	CMAELR4	FRENCH	M4	INSTR REL	WRITTEN	PROSE	17260075	What 0 *T*-1 this might be , can noon hert thenke	IP	17260088	noon hert	NP	17260089	hert	N	17260089	hert	N	17260088	noon hert	NP	17260088	noon hert	NP
17471973	non	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17471971	Vorzo+te non herte ne is gentyl : bote 0 he louie god .	IP-MAT	17471974	non herte	NP	17471975	herte	N	17471975	herte	N	17471974	non herte	NP	17471974	non herte	NP
17472478	al	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17472479	al his herte / and al his payne	NP	17472480	al his herte	NP	17472482	herte	N	17472482	herte	N	17472480	al his herte	NP	17472480	al his herte	NP
