1_id	1_span	1_anno_ptb::pos	2_id	2_span	2_anno_ptb::cat	3_id	3_span	3_anno_ptb::cat	4_id	4_span	4_anno_ptb::pos	4_anno_ptb::pos	meta_Period	meta_Genre	meta_Dialect	meta_File_name	meta_Text_name	meta_Date	meta_Author	meta_Verse_or_prose	meta_Foreign_original	meta_Relationship_to_spoken_language	meta_Prototypicaltext_category
salt:/ppcme2/cmaelr3.m23#sTok746	no	Q	salt:/ppcme2/cmaelr3.m23#structure423	of no crafty man	PP	salt:/ppcme2/cmaelr3.m23#structure424	no crafty man	NP	salt:/ppcme2/cmaelr3.m23#sTok748	man	N	N	M2/3		SL	CMAELR3			X	PROSE	LATIN	WRITTEN	INSTR REL
salt:/ppcme2/cmaelr3.m23#sTok1306	eny	Q	salt:/ppcme2/cmaelr3.m23#structure769	wit eny man	PP	salt:/ppcme2/cmaelr3.m23#structure770	eny man	NP	salt:/ppcme2/cmaelr3.m23#sTok1307	man	N	N	M2/3		SL	CMAELR3			X	PROSE	LATIN	WRITTEN	INSTR REL
salt:/ppcme2/cmaelr3.m23#sTok1988	no	Q	salt:/ppcme2/cmaelr3.m23#structure1167	no man ne womman chape hym-self	IP-MAT	salt:/ppcme2/cmaelr3.m23#structure1168	no man ne womman	NP	salt:/ppcme2/cmaelr3.m23#sTok1989	man	N	N	M2/3		SL	CMAELR3			X	PROSE	LATIN	WRITTEN	INSTR REL
salt:/ppcme2/cmaelr3.m23#sTok2640	manye	Q	salt:/ppcme2/cmaelr3.m23#structure1546	manye mannes woodschype , $whyce þat whanne 0 þey haue lyued al here lyf in $stynkynde fulþe , ȝit in here oolde age þey nulleþ not wit-drawe hem fro þe companye of suspekt persones , bote *con* seyn þat þey ben siker ynow of hem-self , for þat þey veleþ here body sumdel akeled	NP	salt:/ppcme2/cmaelr3.m23#structure1547	manye mannes	NP	salt:/ppcme2/cmaelr3.m23#sTok2641	mannes	NS$	NS$	M2/3		SL	CMAELR3			X	PROSE	LATIN	WRITTEN	INSTR REL
salt:/ppcme2/cmaelr3.m23#sTok6484	alle	Q	salt:/ppcme2/cmaelr3.m23#structure3843	to alle men	PP	salt:/ppcme2/cmaelr3.m23#structure3844	alle men	NP	salt:/ppcme2/cmaelr3.m23#sTok6485	men	NS	NS	M2/3		SL	CMAELR3			X	PROSE	LATIN	WRITTEN	INSTR REL
salt:/ppcme2/cmaelr3.m23#sTok6520	eny	Q	salt:/ppcme2/cmaelr3.m23#structure3867	to eny mon	PP	salt:/ppcme2/cmaelr3.m23#structure3868	eny mon	NP	salt:/ppcme2/cmaelr3.m23#sTok6521	mon	N	N	M2/3		SL	CMAELR3			X	PROSE	LATIN	WRITTEN	INSTR REL
salt:/ppcme2/cmaelr3.m23#sTok11534	euery	Q	salt:/ppcme2/cmaelr3.m23#structure6710	euery mannes offys	NP	salt:/ppcme2/cmaelr3.m23#structure6711	euery mannes	NP	salt:/ppcme2/cmaelr3.m23#sTok11535	mannes	N$	N$	M2/3		SL	CMAELR3			X	PROSE	LATIN	WRITTEN	INSTR REL
salt:/ppcme2/cmaelr3.m23#sTok11695	manye	Q	salt:/ppcme2/cmaelr3.m23#structure6806	of manye men	PP	salt:/ppcme2/cmaelr3.m23#structure6807	manye men	NP	salt:/ppcme2/cmaelr3.m23#sTok11696	men	NS	NS	M2/3		SL	CMAELR3			X	PROSE	LATIN	WRITTEN	INSTR REL
salt:/ppcme2/cmaelr3.m23#sTok11868	eny	Q	salt:/ppcme2/cmaelr3.m23#structure6899	eny man woolde conseyle me forsake þilke feet of Ihesu , 0 þat *T*-1 Marie so swetly kyssede	IP	salt:/ppcme2/cmaelr3.m23#structure6900	eny man	NP	salt:/ppcme2/cmaelr3.m23#sTok11869	man	N	N	M2/3		SL	CMAELR3			X	PROSE	LATIN	WRITTEN	INSTR REL
salt:/ppcme2/cmaelr3.m23#sTok13202	eny	Q	salt:/ppcme2/cmaelr3.m23#structure7672	eny mannes hiere	NP	salt:/ppcme2/cmaelr3.m23#structure7673	eny mannes	NP	salt:/ppcme2/cmaelr3.m23#sTok13203	mannes	N$	N$	M2/3		SL	CMAELR3			X	PROSE	LATIN	WRITTEN	INSTR REL
salt:/ppcme2/cmaelr3.m23#sTok13247	eny	Q	salt:/ppcme2/cmaelr3.m23#structure7690	þu woldest , forto avenge þyn husbonde , slen eny man	IP	salt:/ppcme2/cmaelr3.m23#structure7694	eny man	NP	salt:/ppcme2/cmaelr3.m23#sTok13248	man	N	N	M2/3		SL	CMAELR3			X	PROSE	LATIN	WRITTEN	INSTR REL
