1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Genre	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Text_name	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17234302	al	Q	X	SL	CMAELR3	LATIN	'NULL'	M2/3	INSTR REL	WRITTEN	'NULL'	PROSE	17234301	of al +ty my+gt	PP	17234303	al +ty my+gt	NP	17234305	my+gt	N	17234305	my+gt	N	17234303	al +ty my+gt	NP	17234303	al +ty my+gt	NP
17260755	alle	Q	X	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17260754	wi+d alle michte ant streng+de	PP	17260756	alle michte ant streng+de	NP	17260757	michte	N	17260757	michte	N	17260756	alle michte ant streng+de	NP	17260756	alle michte ant streng+de	NP
17279896	muche	Q	X	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17279893	& *con* hefden muche machte .	IP-MAT	17279897	muche machte	NP	17279898	machte	N	17279898	machte	N	17279897	muche machte	NP	17279897	muche machte	NP
17299837	alle	Q	X	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17299836	of alle michte	PP	17299838	alle michte	NP	17299839	michte	N	17299839	michte	N	17299838	alle michte	NP	17299838	alle michte	NP
17331825	muche	Q	X	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17331822	+tt is muche michte .	IP-MAT-SPE	17331826	muche michte	NP	17331827	michte	N	17331827	michte	N	17331826	muche michte	NP	17331826	muche michte	NP
17353391	monie	Q	X	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17353388	Schrift haue+d monie michtes .	IP-MAT	17353392	monie michtes	NP	17353393	michtes	NS	17353393	michtes	NS	17353392	monie michtes	NP	17353392	monie michtes	NP
17591390	no	Q	X	WML	CMBRUT3	X	'NULL'	M3	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17591382	But Brenne +te +gonger bro+ter hade no my+gte ne streng+t a+geyn+g Belyn ;	IP-MAT	17591391	no my+gte ne streng+t	NP	17591392	my+gte	N	17591392	my+gte	N	17591391	no my+gte ne streng+t	NP	17591391	no my+gte ne streng+t	NP
17597497	al	Q	X	WML	CMBRUT3	X	'NULL'	M3	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17597496	with al his my+gte	PP	17597498	al his my+gte	NP	17597500	my+gte	N	17597500	my+gte	N	17597498	al his my+gte	NP	17597498	al his my+gte	NP
17605756	al	Q	X	WML	CMBRUT3	X	'NULL'	M3	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17605755	wi+t al her my+gt	PP	17605757	al her my+gt	NP	17605759	my+gt	N	17605759	my+gt	N	17605757	al her my+gt	NP	17605757	al her my+gt	NP
17791686	al	Q	X	EMO	CMCLOUD	X	'NULL'	M3	INSTR REL	WRITTEN	'NULL'	PROSE	17791685	in al here mi+gt	PP	17791687	al here mi+gt	NP	17791689	mi+gt	N	17791689	mi+gt	N	17791687	al here mi+gt	NP	17791687	al here mi+gt	NP
