1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Date	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Genre	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Text_name	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17217629	many	Q	X	'NULL'	SL	CMAELR3	LATIN	'NULL'	M2/3	INSTR REL	WRITTEN	'NULL'	PROSE	17217625	Aftur +tis many day +ty spouse Crist go+t in-to desert , +gyuyngge +te ensaumple to fle blast and bost of +te wordle ;	IP-MAT	17217630	many day	NP	17217631	day	N	17217631	day	N	17217630	many day	NP	17217630	many day	NP
17231663	euery	Q	X	'NULL'	SL	CMAELR3	LATIN	'NULL'	M2/3	INSTR REL	WRITTEN	'NULL'	PROSE	17231662	Suppose euery day +tat +tu scholdest be deed ,	IP-IMP	17231664	euery day	NP	17231665	day	N	17231665	day	N	17231664	euery day	NP	17231664	euery day	NP
17242288	al	Q	X	'NULL'	EML	CMAELR4	FRENCH	'NULL'	M4	INSTR REL	WRITTEN	'NULL'	PROSE	17242287	of al day	PP	17242289	al day	NP	17242290	day	N	17242290	day	N	17242289	al day	NP	17242289	al day	NP
17244269	euery	Q	X	'NULL'	EML	CMAELR4	FRENCH	'NULL'	M4	INSTR REL	WRITTEN	'NULL'	PROSE	17244258	In Lente o manere of potage euery day , but 0 siknesse it make ;	FRAG	17244270	euery day	NP	17244271	day	N	17244271	day	N	17244270	euery day	NP	17244270	euery day	NP
17244308	euery	Q	X	'NULL'	EML	CMAELR4	FRENCH	'NULL'	M4	INSTR REL	WRITTEN	'NULL'	PROSE	17244297	And the tyme of thy meles shal be euery day at / hye none	IP	17244309	euery day	NP	17244310	day	N	17244310	day	N	17244309	euery day	NP	17244309	euery day	NP
17244414	euery	Q	X	'NULL'	EML	CMAELR4	FRENCH	'NULL'	M4	INSTR REL	WRITTEN	'NULL'	PROSE	17244403	Also thou maist , and thou wilt , euery fastynge day in the somer ceson , by cause 0 thou hast noo meridyan after noon , to slepe bitwene matyns and pryme .	IP-MAT-1	17244415	euery fastynge day in the somer ceson	NP	17244417	day	N	17244417	day	N	17244415	euery fastynge day in the somer ceson	NP	17244415	euery fastynge day in the somer ceson	NP
17258283	euery	Q	X	'NULL'	EML	CMAELR4	FRENCH	'NULL'	M4	INSTR REL	WRITTEN	'NULL'	PROSE	17258284	euery day *ICH*-1	NP	17258285	euery day	NP	17258286	day	N	17258286	day	N	17258285	euery day	NP	17258285	euery day	NP
17260295	moni	Q	X	'NULL'	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17260283	<em> ant +ge </em> , mine leoue sustren , habbe+d moni dei icraued me efter riwle .	IP-MAT	17260296	moni dei	NP	17260297	dei	N	17260297	dei	N	17260296	moni dei	NP	17260296	moni dei	NP
17277783	sum	Q	X	'NULL'	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17277779	& +tenne haldet sum o+der dei of +te wike .	IP-IMP	17277784	sum o+der dei of +te wike	NP	17277786	dei	N	17277786	dei	N	17277784	sum o+der dei of +te wike	NP	17277784	sum o+der dei of +te wike	NP
17341080	euche	Q	X	'NULL'	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17341079	& euche dei he kime+d for+d	IP-MAT	17341081	euche dei	NP	17341082	dei	N	17341082	dei	N	17341081	euche dei	NP	17341081	euche dei	NP
17347317	euche	Q	X	'NULL'	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17347312	& *con* is +get euche dei of edmode men & wimmen 0 +te *T*-1 hit wel cunnen .	IP-MAT	17347318	euche dei	NP	17347319	dei	N	17347319	dei	N	17347318	euche dei	NP	17347318	euche dei	NP
17398155	every	Q	CHAUCER GEOFFREY	'NULL'	EMO	CMASTRO	X	'NULL'	M3	INSTR SEC	WRITTEN	'NULL'	PROSE	17398156	every day and in every signe	NP	17398157	every day	NP	17398158	day	N	17398158	day	N	17398157	every day	NP	17398157	every day	NP
17408246	all	Q	CHAUCER GEOFFREY	'NULL'	EMO	CMASTRO	X	'NULL'	M3	INSTR SEC	WRITTEN	'NULL'	PROSE	17408245	of all the hool day vulgar	PP	17408247	all the hool day vulgar	NP	17408250	day	N	17408250	day	N	17408247	all the hool day vulgar	NP	17408247	all the hool day vulgar	NP
17409125	every	Q	CHAUCER GEOFFREY	'NULL'	EMO	CMASTRO	X	'NULL'	M3	INSTR SEC	WRITTEN	'NULL'	PROSE	17409124	*T*-1 every day generaly , atte sonne arist , entrith the houre of eny planete , after which planete 0 *T*-2 the day berith his name	IP	17409126	every day	NP	17409127	day	N	17409127	day	N	17409126	every day	NP	17409126	every day	NP
